,军事学硕士招生数,农学硕士招生数,医学硕士招生数,历史学硕士招生数,哲学硕士招生数,工学硕士招生数,教育学硕士招生数,文学硕士招生数,普通高校军事学硕士招生数,普通高校农学硕士招生数,普通高校医学硕士招生数,普通高校历史学硕士招生数,普通高校哲学硕士招生数,普通高校工学硕士招生数,普通高校教育学硕士招生数,普通高校文学硕士招生数,普通高校法学硕士招生数,普通高校理学硕士招生数,普通高校硕士招生数,普通高校管理学硕士招生数,普通高校经济学硕士招生数,法学硕士招生数,理学硕士招生数,硕士招生数,科研机构军事学硕士招生数,科研机构农学硕士招生数,科研机构医学硕士招生数,科研机构历史学硕士招生数,科研机构哲学硕士招生数,科研机构工学硕士招生数,科研机构教育学硕士招生数,科研机构文学硕士招生数,科研机构法学硕士招生数,科研机构理学硕士招生数,科研机构硕士招生数,科研机构管理学硕士招生数,科研机构经济学硕士招生数,管理学硕士招生数,经济学硕士招生数
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0143,0.9941,2.6562,0.3646,0.3198,10.0479,0.909,2.2482,0.0142,0.9606,2.5966,0.3583,0.3113,9.6333,0.9064,2.2345,2.0282,2.7677,26.317,3.1053,1.4006,2.0746,3.0984,27.3002,0.0001,0.0335,0.0596,0.0063,0.0085,0.4146,0.0026,0.0137,0.0464,0.3307,0.9832,0.0391,0.0281,3.1444,1.4287
2005年,0.0185,1.1611,3.1602,0.4303,0.3683,11.0362,1.1352,2.6628,0.0182,1.1228,3.0974,0.4244,0.3564,10.595,1.1318,2.6472,2.2129,3.1372,29.9583,3.6508,1.5642,2.2465,3.4979,31.0037,0.0003,0.0383,0.0628,0.0059,0.0119,0.4412,0.0034,0.0156,0.0336,0.3607,1.0454,0.0409,0.0308,3.6917,1.595
2006年,0.0185,1.2552,3.5425,0.4523,0.3943,12.3309,1.327,2.898,0.0182,1.2128,3.4774,0.4464,0.384,11.8969,1.3231,2.8804,2.4104,3.3637,33.1489,4.0684,1.6672,2.4448,3.7245,34.197,0.0003,0.0424,0.0651,0.0059,0.0103,0.434,0.0039,0.0176,0.0344,0.3608,1.0481,0.0411,0.0323,4.1095,1.6995
2007年,0.0212,1.3338,3.7036,0.4409,0.4572,12.4671,1.3918,3.3173,0.021,1.2833,3.6395,0.4356,0.4473,12.0144,1.3868,3.3007,2.8004,3.6642,34.9778,4.2731,1.7115,2.8398,4.0305,36.059,0.0002,0.0505,0.0641,0.0053,0.0099,0.4527,0.005,0.0166,0.0394,0.3663,1.0812,0.0402,0.031,4.3133,1.7425
2008年,0.0195,1.0668,4.0083,0.4649,0.4419,13.3222,1.4793,3.651,0.0193,1.0151,3.9508,0.4588,0.4313,12.8502,1.474,3.6332,3.1179,4.0501,37.5527,4.7627,1.7893,3.158,4.4273,38.6658,0.0002,0.0517,0.0575,0.0061,0.0106,0.472,0.0053,0.0178,0.0401,0.3772,1.1131,0.0409,0.0337,4.8036,1.823
2009年,0.0202,1.2067,3.7881,0.4933,0.4421,13.5444,1.5575,3.9046,0.0201,1.1584,3.7334,0.4871,0.4304,13.0821,1.5525,3.8848,2.7341,4.3765,43.7328,3.3453,1.8503,2.773,4.7641,44.9042,0.0001,0.0483,0.0547,0.0062,0.0117,0.4623,0.005,0.0198,0.0389,0.3876,1.1714,0.0458,0.03,3.3911,1.8803
2010年,0.0207,1.2043,3.3543,0.4542,0.4036,12.9727,1.4129,3.7828,0.0206,1.1539,3.3009,0.4483,0.392,12.5303,1.4085,3.7644,2.5385,4.238,46.1815,3.0311,1.7515,2.5801,4.6172,47.4415,0.0001,0.0504,0.0534,0.0059,0.0116,0.4424,0.0044,0.0184,0.0416,0.3792,1.26,0.0446,0.0322,3.0757,1.7837
2011年,0.0217,1.7084,5.2721,0.4767,0.3885,17.0478,2.5751,4.5165,0.0216,1.6415,5.2068,0.4702,0.379,16.5058,2.5706,4.4984,3.6202,4.1408,48.2195,6.9528,2.2118,3.692,4.4894,49.4609,0.0001,0.0669,0.0653,0.0065,0.0095,0.542,0.0045,0.0181,0.0718,0.3486,1.2414,0.0718,0.0363,7.0246,2.2481
2012年,0.0208,1.7975,5.607,0.4517,0.3715,18.3593,2.89,2.9691,0.0207,1.725,5.5402,0.4429,0.363,17.9507,2.89,2.9612,3.6654,4.2558,51.132,7.2704,2.4,3.735,4.4788,52.1303,0.0001,0.0725,0.0668,0.0088,0.0085,0.4086,0.0,0.0079,0.0696,0.223,0.9983,0.0724,0.0482,7.3428,2.4482
2013年,0.0212,2.0296,5.7435,0.4685,0.3508,19.075,3.1241,2.9208,0.0208,1.9571,5.6744,0.4587,0.3423,18.6518,3.1241,2.9154,3.7376,4.3732,53.0583,7.5816,2.4612,3.8119,4.6044,54.0919,0.0004,0.0725,0.0691,0.0098,0.0085,0.4232,0.0,0.0054,0.0743,0.2312,1.0336,0.0796,0.0476,7.6612,2.5088
2014年,0.0183,2.0202,6.0891,0.4781,0.3555,18.9895,3.333,2.9529,0.0183,1.954,6.0367,0.4676,0.3466,18.7658,3.333,2.9474,3.7457,4.6701,54.2439,7.6359,2.4678,3.8205,4.7159,54.8689,0.0,0.0662,0.0524,0.0105,0.0089,0.2237,0.0,0.0055,0.0748,0.0458,0.625,0.0793,0.0469,7.7152,2.5147
