,中外合作经营零售业企业所有者权益合计,中外合资经营零售业企业所有者权益合计,其他外商投资零售业企业所有者权益合计,其他有限责任公司零售业企业所有者权益合计,其他港澳台商投资零售业企业所有者权益合计,其他联营零售业企业所有者权益合计,其他零售业企业所有者权益合计,内资零售业企业所有者权益合计,国有与集体联营零售业企业所有者权益合计,国有独资公司零售业企业所有者权益合计,国有联营零售业企业所有者权益合计,国有零售业企业所有者权益合计,外商投资股份有限公司零售业企业所有者权益合计,外商投资零售业企业所有者权益合计,外资零售业企业所有者权益合计,有限责任公司零售业企业所有者权益合计,港澳台商合作经营零售业企业所有者权益合计,港澳台商合资经营零售业企业所有者权益合计,港澳台商投资股份有限公司零售业企业所有者权益合计,港澳台商投资零售业企业所有者权益合计,港澳台商独资经营零售业企业所有者权益合计,私营合伙零售业企业所有者权益合计,私营有限责任公司零售业企业所有者权益合计,私营独资零售业企业所有者权益合计,私营股份有限公司零售业企业所有者权益合计,私营零售业企业所有者权益合计,联营零售业企业所有者权益合计,股份合作零售业企业所有者权益合计,股份有限公司零售业企业所有者权益合计,集体联营零售业企业所有者权益合计,集体零售业企业所有者权益合计,零售业所有者权益合计
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
