,中外合作经营零售业企业负债合计,中外合资经营零售业企业负债合计,其他外商投资零售业企业负债合计,其他有限责任公司零售业企业负债合计,其他港澳台商投资零售业企业负债合计,其他联营零售业企业负债合计,其他零售业企业负债合计,内资零售业企业负债合计,国有与集体联营零售业企业负债合计,国有独资公司零售业企业负债合计,国有联营零售业企业负债合计,国有零售业企业负债合计,外商投资股份有限公司零售业企业负债合计,外商投资零售业企业负债合计,外资零售业企业负债合计,有限责任公司零售业企业负债合计,港澳台商合作经营零售业企业负债合计,港澳台商合资经营零售业企业负债合计,港澳台商投资股份有限公司零售业企业负债合计,港澳台商投资零售业企业负债合计,港澳台商独资经营零售业企业负债合计,私营合伙零售业企业负债合计,私营有限责任公司零售业企业负债合计,私营独资零售业企业负债合计,私营股份有限公司零售业企业负债合计,私营零售业企业负债合计,联营零售业企业负债合计,股份合作零售业企业负债合计,股份有限公司零售业企业负债合计,集体联营零售业企业负债合计,集体零售业企业负债合计,零售业负债合计
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,37.9508,76.4743,,215.8829,,8.5007,0.8463,2497.7695,13.2971,30.9131,18.6341,1171.2081,,116.6536,2.2286,246.7961,30.6947,70.1141,9.0349,110.3255,0.4818,0.7162,35.7158,7.9438,5.3882,49.7639,47.3687,69.1693,603.196,6.9368,309.4212,2724.7
2000年,45.7315,78.0859,,308.7639,,9.8072,1.0371,2612.4665,7.5342,52.2552,9.9392,1125.2097,0.1908,124.029,0.0209,361.0191,39.7089,79.7228,24.5752,146.426,2.4191,1.2364,73.718,14.431,6.8888,96.2742,35.9009,69.0895,656.7793,8.6202,267.1567,2882.9215
