,交通和通信类农村居民消费价格指数(上年=100),交通工具类农村居民消费价格指数(上年=100),交通类农村居民消费价格指数(上年=100),城市间交通费类农村居民消费价格指数(上年=100),市区公共交通费类农村居民消费价格指数(上年=100),车用燃料及零配件类农村居民消费价格指数(上年=100),车辆使用及维修费类农村居民消费价格指数(上年=100),通信工具类农村居民消费价格指数(上年=100),通信服务类农村居民消费价格指数(上年=100),通信类农村居民消费价格指数(上年=100)
1978年,,,,,,,,,,
1979年,,,,,,,,,,
1980年,,,,,,,,,,
1981年,,,,,,,,,,
1982年,,,,,,,,,,
1983年,,,,,,,,,,
1984年,,,,,,,,,,
1985年,,,,,,,,,,
1986年,,,,,,,,,,
1987年,,,,,,,,,,
1988年,,,,,,,,,,
1989年,,,,,,,,,,
1990年,,,,,,,,,,
1991年,,,,,,,,,,
1992年,,,,,,,,,,
1993年,,,,,,,,,,
1994年,,,,,,,,,,
1995年,,,,,,,,,,
1996年,,,,,,,,,,
1997年,97.7,97.8,,,,,,97.2,,
1998年,95.9,96.3,,,,,,94.2,,
1999年,94.5,95.3,,,,,,91.9,,
2000年,93.6,95.0,93.6,,,,,89.7,,
2001年,98.7,96.6,99.7,104.9,102.0,97.9,99.3,89.1,98.6,96.5
2002年,98.2,95.5,98.8,103.7,100.3,98.2,98.7,88.3,99.8,97.3
2003年,98.6066,96.239,99.3977,102.5662,100.615,107.4156,97.7518,87.5685,100.1406,97.4209
2004年,99.7667,97.7878,100.7191,103.4215,100.4695,107.1343,100.7405,89.9347,100.7059,98.4191
2005年,100.2637,98.3935,101.9868,104.25,103.6066,109.5407,101.5455,91.0811,99.6404,97.744
2006年,101.32205363,99.32689071,104.40935824,107.75747111,107.53035126,112.43569611,102.05870272,87.58895437,100.3348443,97.23029441
2007年,100.6266278,99.21408344,102.06219763,104.38496501,104.03350488,103.94241255,102.58301448,87.59596695,102.03914981,98.69076397
2008年,100.67348851,100.95800483,104.34515992,106.45720217,103.72348626,113.30047013,101.177717,85.21401006,98.66102231,95.55268926
2009年,98.18162639,99.59490888,99.29282257,101.07823587,101.67233286,92.70090154,100.8052575,87.19039229,99.37546506,96.51191877
2010年,100.3,99.5,102.2,101.1,103.3,111.0,101.5,90.9,99.9,97.7
2011年,101.30461306,100.18599548,103.48366673,103.18788719,104.81370246,111.31093264,102.63090005,91.53544182,99.94672098,98.14406625
2012年,100.55661168,100.15971796,101.85204883,103.35623526,103.3269835,102.87540708,103.06275953,92.93158527,99.98517334,98.57527357
2013年,100.0640758,99.67555708,100.68247452,102.01109066,102.13376077,99.40611019,103.93863072,95.03949273,100.02657719,99.08681019
2014年,100.03381095,99.55585201,100.36195809,101.45845702,101.82636869,98.977561,103.15582671,97.20477574,100.01477086,99.50688365
