,烟草类农村居民消费价格指数(上年=100),烟酒及饮料类农村居民消费价格指数(上年=100),酒类农村居民消费价格指数(上年=100)
1978年,,,
1979年,,,
1980年,,,
1981年,,,
1982年,,,
1983年,,,
1984年,,,
1985年,,,
1986年,,,
1987年,,,
1988年,,,
1989年,,,
1990年,,,
1991年,,,
1992年,,,
1993年,,,
1994年,,,
1995年,,,
1996年,,,
1997年,99.9,,
1998年,99.1,,
1999年,96.9,,
2000年,97.5,,
2001年,99.7,99.6,99.4
2002年,100.2,100.0,99.7
2003年,99.854,99.9258,100.0759
2004年,101.0891,101.3024,101.7141
2005年,100.4335,100.5424,100.791
2006年,100.13775535,100.30551295,100.56882889
2007年,101.00408677,101.57382088,102.62634798
2008年,100.51668234,102.58417554,106.1258785
2009年,100.2744489,101.26954047,102.90144648
2010年,100.4,101.4,103.1
2011年,100.21646945,102.44833372,105.72452082
2012年,100.9265276,102.72663005,105.23135055
2013年,100.93581699,100.75470192,100.5130018
2014年,100.31953013,99.54928801,98.5170673
