,个人服务类农村居民消费价格指数(上年=100),个人用品及服务类农村居民消费价格指数(上年=100),个人饰品类农村居民消费价格指数(上年=100),中药材及中成药类农村居民消费价格指数(上年=100),保健器具及用品类农村居民消费价格指数(上年=100),化妆美容用品类农村居民消费价格指数(上年=100),医疗保健和个人用品类农村居民消费价格指数(上年=100),医疗保健服务费类农村居民消费价格指数(上年=100),医疗保健类农村居民消费价格指数(上年=100),医疗器具及用品类农村居民消费价格指数(上年=100),清洁化妆用品类农村居民消费价格指数(上年=100),西药类农村居民消费价格指数(上年=100)
1978年,,,,,,,,,,,,
1979年,,,,,,,,,,,,
1980年,,,,,,,,,,,,
1981年,,,,,,,,,,,,
1982年,,,,,,,,,,,,
1983年,,,,,,,,,,,,
1984年,,,,,,,,,,,,
1985年,,,,,,,,,,,,
1986年,,,,,,,,,,,,
1987年,,,,,,,,,,,,
1988年,,,,,,,,,,,,
1989年,,,,,,,,,,,,
1990年,,,,,,,,,,,,
1991年,,,,,,,,,,,,
1992年,,,,,,,,,,,,
1993年,,,,,,,,,,,,
1994年,,,,,,,,,,,,
1995年,,,,,,,,,,,,
1996年,,,,,,,,,,,,
1997年,,,,108.8,,,,,,,,101.8
1998年,,,,107.3,,,,,102.9,101.5,,99.8
1999年,,,,104.6,,,,112.2,100.8,100.7,,98.1
2000年,,,,105.0,,,100.6,,100.6,99.5,,97.5
2001年,100.8,99.5,98.8,102.1,99.2,98.2,101.1,108.9,102.1,98.0,98.4,96.0
2002年,100.6,99.4,99.2,97.4,98.6,98.3,100.1,107.6,100.5,97.3,97.9,95.5
2003年,101.2468,100.428,101.1818,107.3752,98.1874,98.8843,102.4824,109.9741,103.5489,101.1594,98.4477,95.243
2004年,102.3617,101.3471,102.7013,99.0859,96.869,99.0401,100.4867,106.8042,100.0725,101.5941,98.8169,94.1145
2005年,102.6059,101.1557,101.2413,95.951,99.7764,99.9636,100.4598,105.5592,100.1275,97.1235,99.3583,97.7097
2006年,102.99003097,103.39745495,109.44937075,99.57841875,100.02575217,100.03795282,101.48532005,103.59988354,100.6318957,96.87247502,99.94943482,98.77952889
2007年,104.42007609,102.64762604,103.81158213,108.77202492,100.90064068,100.33925154,102.80260382,103.21752133,102.85915475,98.01613199,100.52469428,99.62541311
2008年,106.44036153,104.8650687,108.33652143,107.54258357,102.64322914,100.81998734,103.23400587,101.09213051,102.54773497,98.88999401,101.97601764,101.20162122
2009年,104.82045832,101.54668896,97.50319628,101.6185323,101.34849436,100.82699011,101.47824935,101.18293072,101.45294415,101.22917271,101.94536926,101.63638689
2010年,103.3,103.0,106.8,111.1,101.5,100.5,103.2,101.0,103.4,105.8,100.4,101.3
2011年,105.28330846,104.21989805,108.69239411,112.55643572,103.84671427,100.73570155,103.29651958,100.77694153,102.92006683,100.38700377,101.53327269,100.184179
2012年,105.71927669,103.05492057,101.40043124,105.0613737,102.83245414,101.19694488,102.14033983,100.92666988,101.76277315,102.88223207,103.05683193,100.4967329
2013年,106.64311252,101.86521662,96.28035794,103.26063723,101.35248925,101.19603528,101.84575698,103.02057604,101.83762144,100.36362962,102.14179518,99.61147371
2014年,104.92380953,100.99659431,95.75487189,102.78163327,103.12277091,100.81542059,101.48518088,101.48831891,101.68950076,99.82167837,101.06707306,101.04867955
