,中国实际利用乌干达外商其他投资金额,中国实际利用冈比亚外商其他投资金额,中国实际利用几内亚(比绍)外商其他投资金额,中国实际利用几内亚外商其他投资金额,中国实际利用刚果外商其他投资金额,中国实际利用利比亚外商其他投资金额,中国实际利用利比里亚外商其他投资金额,中国实际利用加纳外商其他投资金额,中国实际利用南非外商其他投资金额,中国实际利用博茨瓦纳外商其他投资金额,中国实际利用喀麦隆外商其他投资金额,中国实际利用坦桑尼亚外商其他投资金额,中国实际利用埃及外商其他投资金额,中国实际利用埃塞俄比亚外商其他投资金额,中国实际利用塞内加尔外商其他投资金额,中国实际利用塞拉利昂外商其他投资金额,中国实际利用塞舌尔外商其他投资金额,中国实际利用安哥拉外商其他投资金额,中国实际利用尼日利亚外商其他投资金额,中国实际利用尼日尔外商其他投资金额,中国实际利用摩洛哥外商其他投资金额,中国实际利用毛里塔尼亚外商其他投资金额,中国实际利用毛里求斯外商其他投资金额,中国实际利用津巴布韦外商其他投资金额,中国实际利用突尼斯外商其他投资金额,中国实际利用纳米比亚外商其他投资金额,中国实际利用肯尼亚外商其他投资金额,中国实际利用苏丹外商其他投资金额,中国实际利用赞比亚外商其他投资金额,中国实际利用赤道几内亚外商其他投资金额,中国实际利用阿尔及利亚外商其他投资金额,中国实际利用非洲其他国家(地区)外商其他投资金额,中国实际利用非洲外商其他投资金额,中国实际利用马里外商其他投资金额
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,3.0,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,225.0,,,,,,,,,,225.0,
2009年,,,,,,,,,,,,,,,,,,,,,,,106.0,,,,,,,,,,106.0,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
