,01章活动物出口额,02章肉及食用杂碎出口额,03章鱼、甲壳动物、软体动物及其他水生无脊椎动物出口额,04章乳品；蛋品；天然蜂蜜；其他食用动物产品出口额,05章其他动物产品出口额,06章活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶出口额,07章食用蔬菜、根及块茎出口额,08章食用水果及坚果；甜瓜或柑桔属水果的果皮出口额,09章咖啡、茶、马黛茶及调味香料出口额,10章谷物出口额,11章制粉工业产品；麦芽；淀粉；菊粉；面筋出口额,12章含油子仁及果实；杂项子仁及果实；工业用或药用植物；稻草、秸秆及饲料出口额,13章虫胶；树胶、树脂及其他植物液、汁出口额,14章编结用植物材料；其他植物产品出口额,15章动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡出口额,16章肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物的制品出口额,17章糖及糖食出口额,18章可可及可可制品出口额,19章谷物、粮食粉、淀粉或乳的制品；糕饼点心出口额,20章蔬菜、水果、坚果或植物其他部分的制品出口额,21章杂项食品出口额,22章饮料、酒及醋出口额,23章食品工业的残渣及废料；配制的动物饲料出口额,24章烟草、烟草及烟草代用品的制品出口额,25章盐；硫磺；泥土及石料；石膏料、石灰及水泥出口额,26章矿砂、矿渣及矿灰出口额,27章矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡出口额,28章无机化学品；贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物出口额,29章有机化学品出口额,30章药品出口额,31章肥料出口额,32章鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料，颜料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨出口额,33章精油及香膏；芳香料制品及化妆盥洗品出口额,34章肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂出口额,35章蛋白类物质；改性淀粉；胶；酶出口额,36章炸药；烟火制品；火柴；引火合金；易燃材料制品出口额,37章照相及电影用品出口额,38章杂项化学产品出口额,39章塑料及其制品出口额,40章橡胶及其制品出口额,41章生皮(毛皮除外)及皮革出口额,42章皮革制品；鞍具及挽具；旅行用品、手提包及类似容器；动物肠线(蚕胶丝除外)制品出口额,43章毛皮、人造毛皮及其制品出口额,44章木及木制品；木炭出口额,45章软木及软木制品出口额,46章稻草、秸秆、针茅或其他编结材料制品；篮筐及柳条编结品出口额,47章木浆及其他纤维状纤维素浆；纸及纸板的废碎品出口额,48章纸及纸板；纸浆，纸或纸板制品出口额,49章书籍、报纸、印刷图画及其他印刷品；手稿、打字稿及设计图纸出口额,50章蚕丝出口额,51章羊毛、动物细毛或粗毛；马毛纱线及其机织物出口额,52章棉花出口额,53章其他植物纺织纤维；纸纱线及其机织物出口额,54章化学纤维长丝出口额,55章化学纤维短纤出口额,56章絮胎、毡呢及无纺织物；特种纱线；线、绳、索、缆及其制品出口额,57章地毯及纺织材料的其他铺地制品出口额,58章特种机织物；簇绒织物；花边；装饰毯；装饰带；刺绣品出口额,59章浸渍、涂布、包覆或层压的纺织物；工业用纺织制品出口额,60章针织物及钩编织物出口额,61章针织或钩编的服装及衣着附件出口额,62章非针织或非钩编的服装及衣着附件出口额,63章其他纺织制成品；成套物品；旧衣着及旧纺织品；碎织物出口额,64章鞋靴、护腿和类似品及其零件出口额,65章帽类及其零件出口额,66章雨伞、阳伞、手杖、鞭子、马鞭及其零件出口额,67章已加工羽毛、羽绒及其制品；人造花；人发制品出口额,68章石料、石膏、水泥、石棉、云母及类似材料的制品出口额,69章陶瓷产品出口额,70章玻璃及其制品出口额,71章天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属及其制品；仿首饰；硬币出口额,72章钢铁出口额,73章钢铁制品出口额,74章铜及其制品出口额,75章镍及其制品出口额,76章铝及其制品出口额,78章铅及其制品出口额,79章锌及其制品出口额,80章锡及其制品出口额,81章其他贱金属，金属陶瓷及其制品出口额,82章贱金属工具、器具、利口器、餐匙、餐叉及其零件出口额,83章贱金属杂项制品出口额,84章核反应堆、锅炉、机械器具及零件出口额,85章电机、电气设备及其零件；录音机及放声机、电视图像、声音的录制和重放设备及其零件、附件出口额,86章铁道及电车道机车、车辆及其零件；铁道及电车道轨道固定装置及其零件、附件；各种机械(包括电动机械)交通信号设备出口额,87章车辆及其零件，附件，但铁道及电车道车辆除外出口额,88章航空器，航天器及其零件出口额,89章船舶及浮动结构体出口额,90章光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备；上述物品的零件、附件出口额,91章钟表及其零件出口额,92章乐器及其零件，附件出口额,93章武器、弹药及其零件，附件出口额,94章家具；寝具、褥垫、弹簧床垫、软坐垫及类似的填充制品；未列名灯具及照明装置；发光标志、发光名牌及类似品；活动房屋出口额,95章玩具、游戏品、运动用品及其零件、附件出口额,96章杂项制品出口额,97章艺术品、收藏品及古物出口额,98章特殊交易品及未分类商品出口额,出口额,第一类活动物；动物产品出口额,第七类塑料及其制品；橡胶及其制品出口额,第三类动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡出口额,第九类木及木制品；木炭；软木及软木制品；稻草、秸秆、针茅或其他编结材料制品；篮筐及柳条编结品出口额,第二十一类艺术品、收藏品及古物出口额,第二十二类特殊交易品及未分类商品出口额,第二十类杂项制品出口额,第二类植物产品出口额,第五类矿产品出口额,第八类生皮、皮革、毛皮及其制品；鞍具及挽具；旅行用品、手提包及类似品；动物肠线(蚕胶丝除外)制品出口额,第六类化学工业及其相关工业的产品出口额,第十一类纺织原料及纺织制品出口额,第十七类车辆、航空器、船舶及有关运输设备出口额,第十三类石料、石膏、水泥、石棉、云母及类似材料的制品；陶瓷产品；玻璃及其制品出口额,第十九类武器、弹药及其零件、附件出口额,第十二类鞋、帽、伞、杖、鞭及其零件；已加工的羽毛及其制品；人造花；人发制品出口额,第十五类贱金属及其制品出口额,第十八类光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备；钟表；乐器；上述物品的零件、附件出口额,第十六类机器、机械器具、电气设备及其零件；录音机及放声机、电视图像、声音的录制和重放设备及其零件、附件出口额,第十四类天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属及其制品；仿首饰；硬币出口额,第十类木浆及其他纤维状纤维素浆；纸及纸板的废碎品；纸、纸板及其制品出口额,第四类食品；饮料、酒及醋；烟草、烟草及烟草代用品的制品出口额
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62091.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,479.0,372.0,1366.0,159.0,0.0,0.0,1053.0,283.0,463.0,1485.0,0.0,855.0,0.0,0.0,0.0,395.0,672.0,0.0,128.0,688.0,0.0,329.0,0.0,441.0,823.0,102.0,4692.0,0.0,1404.0,460.0,30.0,354.0,181.0,0.0,0.0,0.0,0.0,0.0,1516.0,313.0,156.0,2427.0,330.0,0.0,0.0,0.0,2.0,435.0,0.0,944.0,713.0,2567.0,361.0,240.0,1505.0,95.0,518.0,245.0,59.0,499.0,4639.0,10526.0,1706.0,4242.0,217.0,284.0,401.0,295.0,714.0,291.0,0.0,1113.0,1274.0,239.0,5.0,273.0,56.0,112.0,159.0,0.0,0.0,0.0,0.0,0.0,338.0,1015.0,0.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84940.0,2790.0,1829.0,140.0,1174.0,0.0,0.0,0.0,4280.0,5617.0,2913.0,4123.0,24617.0,2203.0,1300.0,0.0,5144.0,4551.0,2329.0,11543.0,1005.0,525.0,3295.0
1993年,453.0,347.0,1254.0,143.0,0.0,0.0,1134.0,345.0,465.0,1473.0,0.0,793.0,0.0,0.0,0.0,602.0,655.0,0.0,123.0,684.0,0.0,299.0,0.0,640.0,692.0,74.0,4109.0,0.0,1541.0,427.0,48.0,373.0,216.0,0.0,0.0,0.0,0.0,0.0,1825.0,373.0,150.0,2891.0,401.0,0.0,0.0,0.0,4.0,502.0,0.0,788.0,608.0,2784.0,382.0,237.0,1456.0,113.0,520.0,240.0,71.0,544.0,5033.0,11543.0,1748.0,5281.0,252.0,334.0,425.0,370.0,673.0,286.0,0.0,842.0,1447.0,212.0,4.0,269.0,40.0,194.0,188.0,0.0,0.0,0.0,0.0,0.0,303.0,1200.0,0.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91744.0,2563.0,2198.0,207.0,1254.0,0.0,0.0,0.0,4372.0,4875.0,3442.0,4398.0,26067.0,1927.0,1329.0,0.0,6292.0,4672.0,2685.0,13908.0,882.0,630.0,3620.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,441.0,840.0,1736.0,175.0,0.0,0.0,1483.0,435.0,520.0,1494.0,0.0,754.0,0.0,0.0,0.0,1223.0,183.0,0.0,262.0,1031.0,0.0,445.0,0.0,578.0,1252.0,80.0,5176.0,0.0,3409.0,693.0,160.0,971.0,300.0,0.0,0.0,0.0,0.0,0.0,5161.0,1013.0,366.0,5266.0,282.0,0.0,0.0,0.0,10.0,991.0,0.0,750.0,760.0,2810.0,401.0,922.0,2430.0,289.0,442.0,776.0,216.0,917.0,11537.0,15573.0,2654.0,8390.0,479.0,633.0,768.0,778.0,1663.0,742.0,0.0,2477.0,4191.0,654.0,89.0,1008.0,148.0,444.0,303.0,0.0,0.0,0.0,0.0,0.0,1821.0,2271.0,440.0,1860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183709.0,3842.0,6174.0,328.0,1831.0,0.0,0.0,0.0,4922.0,6508.0,5914.0,9654.0,40477.0,6392.0,3183.0,0.0,10270.0,12628.0,6562.0,43615.0,2095.0,1345.0,4285.0
1999年,385.0,691.0,1947.0,164.0,0.0,0.0,1519.0,425.0,489.0,1135.0,0.0,805.0,0.0,0.0,0.0,1386.0,140.0,0.0,290.0,1126.0,0.0,457.0,0.0,336.0,1118.0,77.0,4659.0,0.0,3624.0,623.0,230.0,963.0,291.0,0.0,0.0,0.0,0.0,0.0,5123.0,1177.0,360.0,5236.0,287.0,0.0,0.0,0.0,4.0,925.0,0.0,755.0,964.0,3291.0,383.0,832.0,2308.0,258.0,421.0,611.0,262.0,977.0,11754.0,15573.0,2881.0,8679.0,502.0,573.0,809.0,824.0,1723.0,866.0,0.0,2044.0,4352.0,619.0,85.0,829.0,246.0,590.0,360.0,0.0,0.0,0.0,0.0,0.0,1609.0,2787.0,568.0,1618.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194931.0,3814.0,6300.0,141.0,2177.0,0.0,0.0,0.0,4570.0,5854.0,5883.0,10004.0,41270.0,6582.0,3413.0,0.0,10563.0,12578.0,6884.0,52085.0,2528.0,1292.0,4326.0
2000年,385.0,753.0,2270.0,188.0,0.0,0.0,1544.0,417.0,506.0,1643.0,0.0,877.0,0.0,0.0,0.0,1883.0,173.0,0.0,360.0,1315.0,0.0,493.0,0.0,302.0,1266.0,79.0,7856.0,0.0,4170.0,670.0,324.0,1134.0,351.0,0.0,0.0,0.0,0.0,0.0,6388.0,1561.0,544.0,6571.0,390.0,0.0,0.0,0.0,10.0,1406.0,0.0,928.0,1203.0,3730.0,521.0,1326.0,2724.0,308.0,471.0,743.0,396.0,1288.0,13424.0,18865.0,3452.0,9850.0,617.0,602.0,889.0,945.0,1936.0,1166.0,0.0,3590.0,5478.0,829.0,89.0,1032.0,233.0,713.0,471.0,0.0,0.0,0.0,0.0,0.0,2561.0,4606.0,536.0,1634.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249203.0,4355.0,7949.0,129.0,2680.0,0.0,0.0,0.0,5202.0,9201.0,7505.0,11639.0,49379.0,9337.0,4047.0,0.0,11958.0,16609.0,8536.0,72885.0,2534.0,1852.0,5166.0
2001年,345.0,841.0,2592.0,192.0,0.0,0.0,1746.0,435.0,542.0,1034.0,0.0,911.0,0.0,0.0,0.0,2046.0,156.0,0.0,413.0,1497.0,0.0,573.0,0.0,386.0,1346.0,92.0,8416.0,0.0,4599.0,737.0,390.0,1210.0,409.0,0.0,0.0,0.0,0.0,0.0,6698.0,1624.0,903.0,6989.0,498.0,0.0,0.0,0.0,8.0,1483.0,0.0,827.0,1082.0,3658.0,454.0,1624.0,2660.0,330.0,491.0,787.0,449.0,1361.0,13457.0,18956.0,3700.0,10096.0,623.0,622.0,917.0,1105.0,1776.0,1323.0,0.0,2238.0,6016.0,621.0,54.0,1469.0,249.0,613.0,301.0,0.0,0.0,0.0,0.0,0.0,2277.0,4777.0,400.0,1929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266098.0,4621.0,8322.0,118.0,2903.0,0.0,0.0,0.0,4920.0,9854.0,8390.0,12795.0,49836.0,9383.0,4204.0,0.0,12258.0,16100.0,8467.0,84891.0,2403.0,1981.0,5792.0
2002年,344.0,665.0,2873.0,194.0,0.0,0.0,1883.0,555.0,552.0,1650.0,0.0,940.0,0.0,0.0,0.0,2327.0,227.0,0.0,454.0,1757.0,0.0,597.0,0.0,433.0,1223.0,181.0,8435.0,0.0,5567.0,790.0,350.0,1387.0,518.0,0.0,0.0,0.0,0.0,0.0,8036.0,1991.0,965.0,7828.0,540.0,0.0,0.0,0.0,16.0,1708.0,0.0,767.0,1068.685,4894.217,501.864,2426.302,2523.0,364.797,557.444,1154.984,624.069,2006.0,15984.0,20583.0,4395.316,11090.0,747.0,589.931,977.762,1313.798,2332.756,1814.0,0.0,2307.406,7262.0,752.0,51.0,2285.0,243.457,492.187,166.432,0.0,0.0,0.0,0.0,0.0,2391.563,5793.0,438.597,1924.543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325596.0,4730.0,10027.0,108.0,3566.0,0.0,0.0,0.0,5861.0,9839.0,9333.0,14614.0,57849.0,10548.0,5461.126,0.0,13405.0,18907.0,9523.0,115921.0,2843.0,2339.0,6701.0
2003年,326.571,645.974,3335.482,221.549,0.0,0.0,2180.257,751.589,623.987,2588.553,0.0,1125.483,0.0,0.0,0.0,2679.0,196.426,0.0,526.781,2168.0,0.0,622.0,0.0,493.0,1368.108,253.0,11114.0,0.0,7131.0,918.0,800.192,1526.0,761.25,0.0,0.0,0.0,0.0,0.0,9978.0,2553.778,1148.981,9511.0,912.0,0.0,0.0,0.0,21.324,2306.0,0.0,824.123,1316.746,6220.0,525.726,3752.019,2786.913,468.889,637.606,1554.639,825.745,2508.29,20678.0,25079.0,6169.0,12955.014,938.825,672.942,1062.099,1613.443,2958.392,2363.473,0.0,3417.167,9447.0,952.0,125.969,3393.0,241.639,526.359,191.184,0.0,0.0,0.0,0.0,0.0,4034.305,8097.0,438.96,3022.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438228.0,5271.001,12532.0,127.578,4358.798,0.0,0.0,0.0,7579.0,12735.0,11573.0,18527.0,73346.0,15592.0,6934.0,0.0,15628.881,25120.0,13105.0,172334.0,3295.379,3029.875,7669.376
2004年,330.251,706.784,4055.584,234.214,0.0,0.0,2537.345,916.374,864.582,740.432,0.0,1195.765,0.0,0.0,0.0,3488.858,252.229,0.0,652.821,2578.111,0.0,742.997,0.0,513.58,1525.168,567.667,14480.415,0.0,9092.485,1100.28,1309.198,1927.426,929.597,0.0,0.0,0.0,0.0,0.0,13105.642,3802.676,1400.985,10258.925,2007.422,0.0,0.0,0.0,16.261,2845.684,0.0,1062.306,1715.362,6587.247,552.679,5155.908,3554.463,594.744,773.314,1975.251,1235.107,2993.666,25802.555,28980.87,7783.716,15202.613,1179.612,838.759,1195.6,2028.961,3889.642,3417.27,0.0,11466.727,13746.152,2141.661,261.608,5175.296,428.29,410.825,338.839,0.0,0.0,0.0,0.0,0.0,5495.127,11823.065,520.664,3159.836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593326.0,6302.381,16908.318,158.33,6063.826,0.0,0.0,0.0,6605.269,16573.25,13667.332,24579.646,88767.187,20998.693,9335.873,0.0,18416.584,43740.613,19086.765,247784.271,4463.223,3797.498,9411.719
2005年,329.0,743.0,4350.0,267.0,0.0,0.0,3052.0,1067.0,927.0,1412.0,0.0,1383.0,0.0,0.0,0.0,4364.0,418.0,0.0,759.0,3094.0,0.0,718.0,0.0,537.0,2174.0,1123.0,17623.0,0.0,12133.0,1364.0,1011.0,2484.0,1201.0,0.0,0.0,0.0,0.0,0.0,17783.0,5503.0,1566.0,11420.0,2615.0,0.0,0.0,0.0,36.0,3929.0,0.0,1336.0,1845.0,7438.0,618.0,5890.0,4387.0,860.0,932.0,2709.0,1755.0,3652.0,30871.0,35031.0,10336.0,19052.0,1443.0,961.0,1316.0,2757.0,5037.0,4463.0,0.0,15090.0,19032.0,3055.0,305.0,6109.0,485.0,382.0,231.0,0.0,0.0,0.0,0.0,0.0,6406.0,16594.0,746.0,4663.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,761953.0,6700.0,23286.0,284.0,7570.0,0.0,0.0,0.0,8282.0,20920.0,15601.0,31853.0,107661.0,28410.0,12257.0,0.0,22773.0,57086.0,28398.0,322008.0,5533.0,5114.0,11196.0
2006年,333.048033,746.767361,4744.687546,301.991377,995.567336,105.19237,3714.727064,1283.813013,988.965245,1038.001868,235.681892,1322.78369,154.976668,53.00849,390.974711,5491.327381,462.420105,123.672737,861.103196,3781.174987,911.080749,1090.496917,515.227845,565.60344,2698.241131,923.357219,17770.063539,7626.257365,15542.156948,1530.560182,1168.772694,2999.628408,1466.81952,1126.928086,729.82722,523.708002,774.715123,4262.178465,22224.404274,7411.091817,1759.426153,12403.778832,1218.238856,8572.580809,22.588714,1315.01516,58.662865,5397.129982,1439.560349,1423.799076,1996.731142,8877.098555,660.606688,6598.626178,5532.539208,1099.976619,1068.648491,3366.502432,2132.254111,4639.953817,44900.426797,43720.321656,12076.395338,21813.377233,1750.356449,1141.824221,1547.713753,3626.417214,6291.310421,5625.395782,6893.922703,25131.81049,26784.042499,5831.603256,502.400537,9277.266072,728.231994,1418.409065,238.583983,2762.076046,6036.927738,6591.984473,186569.168838,227476.356043,6651.523928,22373.090264,1293.330393,8109.677699,32610.361145,1994.085488,1016.648803,38.717636,27955.148343,22637.391806,4567.463643,65.131891,2311.985322,968978.0,7122.061653,29635.496091,390.974711,9910.184683,65.131891,2311.985322,55160.003792,8897.1503,21391.661889,15381.443841,37751.552013,138093.880108,38427.622284,15543.123417,38.717636,26253.271656,85303.336153,35621.095436,414045.524881,6893.922703,6895.353196,13802.107357
2007年,374.81019,731.290303,4752.379519,461.347637,1077.387373,131.502112,4042.512561,1632.412157,1088.757722,1966.907381,508.729004,1628.836754,206.344415,59.112817,327.022645,5831.488643,565.704527,147.315817,919.806838,5436.102439,1103.410606,828.750924,1003.001546,638.539511,2691.14841,945.817973,19950.969513,9661.173118,20596.783741,2052.646645,3736.531888,3577.013298,1789.545446,1468.161332,1021.285167,576.444258,765.179941,5840.260066,26397.231684,10115.579248,1176.960888,14229.340057,957.29984,9773.119191,18.7963,1598.393261,92.010238,7092.368419,2008.411474,1396.87286,2124.657849,9358.810392,615.8568,7791.568055,6365.696895,1374.541561,1315.233778,4687.43724,2840.492151,5734.507548,61326.006525,47315.655467,13554.90081,25305.587255,1960.62546,1379.454073,1933.464591,4505.428097,6640.895921,7148.550719,8122.753882,39942.720139,36677.846814,5282.420834,695.484016,11572.95152,691.561504,1345.971824,428.975636,3510.243541,7186.851292,8194.951016,228551.813526,300263.319497,9539.753464,31803.561481,1413.95882,12220.108738,37061.719563,2445.30443,1222.189157,58.572525,35942.020095,27105.186795,5975.046768,75.448677,2172.831569,1220456.0,7397.215022,36512.810932,327.022645,11390.308752,75.448677,2172.831569,69022.253658,11265.114923,23587.935896,16363.600785,51085.0249,165802.237931,54977.382503,18294.874737,58.572525,30579.131379,115529.978136,40729.21315,528815.133023,8122.753882,9192.790131,16474.120851
