,为生产批发零售贸易、住宿和餐饮业部门单位最终产品，对其他制造业部门中间产品的完全消耗量,为生产批发零售贸易、住宿和餐饮业部门单位最终产品，对其他服务业部门中间产品的完全消耗量,为生产批发零售贸易、住宿和餐饮业部门单位最终产品，对农、林、牧、渔业部门中间产品的完全消耗量,为生产批发零售贸易、住宿和餐饮业部门单位最终产品，对化学工业部门中间产品的完全消耗量,为生产批发零售贸易、住宿和餐饮业部门单位最终产品，对建筑业部门中间产品的完全消耗量,为生产批发零售贸易、住宿和餐饮业部门单位最终产品，对房地产业、租赁和商务服务业部门中间产品的完全消耗量,为生产批发零售贸易、住宿和餐饮业部门单位最终产品，对批发零售贸易、住宿和餐饮业部门中间产品的完全消耗量,为生产批发零售贸易、住宿和餐饮业部门单位最终产品，对机械设备制造业部门中间产品的完全消耗量,为生产批发零售贸易、住宿和餐饮业部门单位最终产品，对炼焦、燃气及石油加工业部门中间产品的完全消耗量,为生产批发零售贸易、住宿和餐饮业部门单位最终产品，对电力、热力及水的生产和供应业部门中间产品的完全消耗量,为生产批发零售贸易、住宿和餐饮业部门单位最终产品，对纺织、服装及皮革产品制造业部门中间产品的完全消耗量,为生产批发零售贸易、住宿和餐饮业部门单位最终产品，对运输仓储邮政、信息传输、计算机服务和软件业部门中间产品的完全消耗量,为生产批发零售贸易、住宿和餐饮业部门单位最终产品，对采矿业部门中间产品的完全消耗量,为生产批发零售贸易、住宿和餐饮业部门单位最终产品，对金属产品制造业部门中间产品的完全消耗量,为生产批发零售贸易、住宿和餐饮业部门单位最终产品，对金融业部门中间产品的完全消耗量,为生产批发零售贸易、住宿和餐饮业部门单位最终产品，对非金属矿物制品业部门中间产品的完全消耗量,为生产批发零售贸易、住宿和餐饮业部门单位最终产品，对食品、饮料制造及烟草制品业部门中间产品的完全消耗量
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0580619732702,0.0467393782791,0.136515431414,0.0976295067382,0.00511788315716,0.0888267175127,0.0669904446044,0.139356168719,0.0461056008448,0.0729796959201,0.0344545039142,0.116743531257,0.0600899047366,0.0645608702494,0.0582825104978,0.0100922176372,0.162275682895
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0402870531255,0.0339792783028,0.143676550586,0.0834061626586,0.00458495199346,0.0756283044955,0.0554824041578,0.0984390206458,0.0345317242348,0.0581644703584,0.0284469698401,0.0965565906415,0.0551414541938,0.045742726556,0.0520761850271,0.00987788111537,0.183300984192
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0371210942906,0.0263670607104,0.0960764882573,0.0571508876833,0.00737756802866,0.144133205181,0.0741638285,0.0719922570122,0.0290074417885,0.0363675142603,0.0161255068563,0.0700504375285,0.0394371610296,0.0372585774133,0.0691425008553,0.00615674324147,0.126871706586
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
