,为生产机械设备制造业部门单位最终产品，对其他制造业部门中间产品的完全消耗量,为生产机械设备制造业部门单位最终产品，对其他服务业部门中间产品的完全消耗量,为生产机械设备制造业部门单位最终产品，对农、林、牧、渔业部门中间产品的完全消耗量,为生产机械设备制造业部门单位最终产品，对化学工业部门中间产品的完全消耗量,为生产机械设备制造业部门单位最终产品，对建筑业部门中间产品的完全消耗量,为生产机械设备制造业部门单位最终产品，对房地产业、租赁和商务服务业部门中间产品的完全消耗量,为生产机械设备制造业部门单位最终产品，对批发零售贸易、住宿和餐饮业部门中间产品的完全消耗量,为生产机械设备制造业部门单位最终产品，对机械设备制造业部门中间产品的完全消耗量,为生产机械设备制造业部门单位最终产品，对炼焦、燃气及石油加工业部门中间产品的完全消耗量,为生产机械设备制造业部门单位最终产品，对电力、热力及水的生产和供应业部门中间产品的完全消耗量,为生产机械设备制造业部门单位最终产品，对纺织、服装及皮革产品制造业部门中间产品的完全消耗量,为生产机械设备制造业部门单位最终产品，对运输仓储邮政、信息传输、计算机服务和软件业部门中间产品的完全消耗量,为生产机械设备制造业部门单位最终产品，对采矿业部门中间产品的完全消耗量,为生产机械设备制造业部门单位最终产品，对金属产品制造业部门中间产品的完全消耗量,为生产机械设备制造业部门单位最终产品，对金融业部门中间产品的完全消耗量,为生产机械设备制造业部门单位最终产品，对非金属矿物制品业部门中间产品的完全消耗量,为生产机械设备制造业部门单位最终产品，对食品、饮料制造及烟草制品业部门中间产品的完全消耗量
1978年,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,
2007年,0.119815065457,0.0552301831264,0.0489098468738,0.282720084043,0.0028542984376,0.0492404055457,0.105526440943,0.899685561294,0.0935435080659,0.155780260064,0.0411980068256,0.111398597343,0.197800140257,0.587391454878,0.0605150418067,0.0446700784869,0.0407097563043
2008年,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,
2010年,0.116648158877,0.0585080888872,0.0578334054366,0.28616460128,0.00352433590636,0.0617500355383,0.115844086936,0.876001187129,0.0893524762416,0.156566292795,0.0443185075591,0.128648574297,0.24360326238,0.547278326707,0.0715544241911,0.0557241029253,0.0479126102075
2011年,,,,,,,,,,,,,,,,,
2012年,0.087576188677,0.0681476386529,0.0505919640849,0.275868141127,0.00911278673779,0.0819648797187,0.129378557158,0.798766329588,0.0823955922256,0.119002349624,0.0403758652627,0.121569080462,0.202163083945,0.542393402977,0.102602365564,0.0479416148496,0.0487548151718
2013年,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,
