,为生产炼焦、燃气及石油加工业部门单位最终产品，对其他制造业部门中间产品的完全消耗量,为生产炼焦、燃气及石油加工业部门单位最终产品，对其他服务业部门中间产品的完全消耗量,为生产炼焦、燃气及石油加工业部门单位最终产品，对农、林、牧、渔业部门中间产品的完全消耗量,为生产炼焦、燃气及石油加工业部门单位最终产品，对化学工业部门中间产品的完全消耗量,为生产炼焦、燃气及石油加工业部门单位最终产品，对建筑业部门中间产品的完全消耗量,为生产炼焦、燃气及石油加工业部门单位最终产品，对房地产业、租赁和商务服务业部门中间产品的完全消耗量,为生产炼焦、燃气及石油加工业部门单位最终产品，对批发零售贸易、住宿和餐饮业部门中间产品的完全消耗量,为生产炼焦、燃气及石油加工业部门单位最终产品，对机械设备制造业部门中间产品的完全消耗量,为生产炼焦、燃气及石油加工业部门单位最终产品，对炼焦、燃气及石油加工业部门中间产品的完全消耗量,为生产炼焦、燃气及石油加工业部门单位最终产品，对电力、热力及水的生产和供应业部门中间产品的完全消耗量,为生产炼焦、燃气及石油加工业部门单位最终产品，对纺织、服装及皮革产品制造业部门中间产品的完全消耗量,为生产炼焦、燃气及石油加工业部门单位最终产品，对运输仓储邮政、信息传输、计算机服务和软件业部门中间产品的完全消耗量,为生产炼焦、燃气及石油加工业部门单位最终产品，对采矿业部门中间产品的完全消耗量,为生产炼焦、燃气及石油加工业部门单位最终产品，对金属产品制造业部门中间产品的完全消耗量,为生产炼焦、燃气及石油加工业部门单位最终产品，对金融业部门中间产品的完全消耗量,为生产炼焦、燃气及石油加工业部门单位最终产品，对非金属矿物制品业部门中间产品的完全消耗量,为生产炼焦、燃气及石油加工业部门单位最终产品，对食品、饮料制造及烟草制品业部门中间产品的完全消耗量
1978年,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,
2007年,0.0550495839316,0.0472479912204,0.0343738428798,0.160847456312,0.00314512258913,0.0304402994332,0.0709343103953,0.279244304516,0.145964544407,0.191758031152,0.0249109360256,0.111324618226,0.826710750107,0.177672367357,0.0500852504906,0.0290693515362,0.0323527640944
2008年,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,
2010年,0.0510240885174,0.0427233603602,0.0377915008796,0.164936599572,0.00322669664104,0.0334948434442,0.0686865430745,0.268844405617,0.138045319731,0.172345463368,0.0232778677179,0.110175496477,0.887816795983,0.160410178327,0.0498388660808,0.0314789345753,0.0330232734258
2011年,,,,,,,,,,,,,,,,,
2012年,0.0444466991455,0.0397625724064,0.0315804943765,0.156802777511,0.00777955202409,0.057908303967,0.0660404397415,0.172357276307,0.146960401345,0.134764682986,0.0201663831231,0.0870707206219,0.874537082245,0.138633550578,0.0858752167707,0.0258791788887,0.0352530327707
2013年,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,
