,为生产化学工业部门单位最终产品，对其他制造业部门中间产品的完全消耗量,为生产化学工业部门单位最终产品，对其他服务业部门中间产品的完全消耗量,为生产化学工业部门单位最终产品，对农、林、牧、渔业部门中间产品的完全消耗量,为生产化学工业部门单位最终产品，对化学工业部门中间产品的完全消耗量,为生产化学工业部门单位最终产品，对建筑业部门中间产品的完全消耗量,为生产化学工业部门单位最终产品，对房地产业、租赁和商务服务业部门中间产品的完全消耗量,为生产化学工业部门单位最终产品，对批发零售贸易、住宿和餐饮业部门中间产品的完全消耗量,为生产化学工业部门单位最终产品，对机械设备制造业部门中间产品的完全消耗量,为生产化学工业部门单位最终产品，对炼焦、燃气及石油加工业部门中间产品的完全消耗量,为生产化学工业部门单位最终产品，对电力、热力及水的生产和供应业部门中间产品的完全消耗量,为生产化学工业部门单位最终产品，对纺织、服装及皮革产品制造业部门中间产品的完全消耗量,为生产化学工业部门单位最终产品，对运输仓储邮政、信息传输、计算机服务和软件业部门中间产品的完全消耗量,为生产化学工业部门单位最终产品，对采矿业部门中间产品的完全消耗量,为生产化学工业部门单位最终产品，对金属产品制造业部门中间产品的完全消耗量,为生产化学工业部门单位最终产品，对金融业部门中间产品的完全消耗量,为生产化学工业部门单位最终产品，对非金属矿物制品业部门中间产品的完全消耗量,为生产化学工业部门单位最终产品，对食品、饮料制造及烟草制品业部门中间产品的完全消耗量
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.094274396604,0.0504551871535,0.106418752367,0.828199181932,0.00290695898606,0.0478654406932,0.0830162547528,0.236948445578,0.17963965189,0.217186528642,0.0498900437645,0.112358597853,0.286839279476,0.163541027651,0.0597254306929,0.0298215728404,0.0657293912998
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0974838141213,0.0526904499408,0.125216346988,0.817709228267,0.00350759099391,0.0597893744948,0.0900446718762,0.234027543912,0.167126379489,0.203989504943,0.0520710485686,0.12748157006,0.309218610361,0.156842241052,0.0694070323812,0.0355271229243,0.0759040425006
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0595852604677,0.053868778294,0.138240003819,0.867993951191,0.00807686904346,0.0780905124127,0.111479402282,0.141254578553,0.169609620227,0.169675821406,0.0620321281717,0.114453640576,0.270647949311,0.119388079913,0.0931347292718,0.0259969470393,0.0975226538755
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
