,人民检察院书面提出纠正件次,人民检察院书面提出纠正侦查监督件次,人民检察院书面提出纠正减刑、假释、保外就医人次,人民检察院书面提出纠正刑罚执行监督人次,人民检察院书面提出纠正监管活动人次,人民检察院书面提出纠正超期羁押人次,人民检察院刑事审判监督书面提出纠正件次,人民检察院审查批捕环节书面提出纠正件次,人民检察院审查起诉环节书面提出纠正件次,人民检察院监督撤案书面提出纠正件次,人民检察院监督立案书面提出纠正件次,人民检察院立案监督书面提出纠正件次
1978年,,,,,,,,,,,,
1979年,,,,,,,,,,,,
1980年,,,,,,,,,,,,
1981年,,,,,,,,,,,,
1982年,,,,,,,,,,,,
1983年,,,,,,,,,,,,
1984年,,,,,,,,,,,,
1985年,,,,,,,,,,,,
1986年,,,,,,,,,,,,
1987年,,,,,,,,,,,,
1988年,,,,,,,,,,,,
1989年,,,,,,,,,,,,
1990年,,,,,,,,,,,,
1991年,,,,,,,,,,,,
1992年,,,,,,,,,,,,
1993年,,,,,,,,,,,,
1994年,,,,,,,,,,,,
1995年,,,,,,,,,,,,
1996年,,,,,,,,,,,,
1997年,,,,,,,,,,,,
1998年,,,,,,,,,,,,
1999年,,,,,,,,,,,,
2000年,,,,,,,,,,,,
2001年,,,,,,,,,,,,
2002年,,,,,,,,,,,,
2003年,,,,,,,,,,,,
2004年,,,,,,,,,,,,
2005年,,,,,,,,,,,,
2006年,,,,,,,,,,,,
2007年,42259.0,15634.0,3942.0,10309.0,6281.0,86.0,2615.0,7805.0,7829.0,4838.0,19172.0,24010.0
2008年,54327.0,22424.0,5298.0,17139.0,11660.0,181.0,2995.0,12296.0,10128.0,6847.0,22061.0,28908.0
2009年,58023.0,25974.0,10157.0,32762.0,22268.0,337.0,4035.0,14308.0,11666.0,6823.0,21191.0,28014.0
2010年,84949.0,34180.0,10829.0,31535.0,20181.0,525.0,6628.0,18880.0,15300.0,11311.0,32830.0,44141.0
2011年,81634.0,39812.0,12164.0,36482.0,24075.0,243.0,8655.0,20801.0,19011.0,11966.0,21201.0,33167.0
2012年,119445.0,57280.0,14851.0,47911.0,32472.0,588.0,12323.0,30584.0,26696.0,20470.0,29372.0,49842.0
2013年,147316.0,72718.0,16906.0,60750.0,43389.0,455.0,17217.0,37684.0,35034.0,25627.0,31754.0,57381.0
2014年,111872.0,54949.0,24116.0,68445.0,43855.0,474.0,10246.0,,,20281.0,26396.0,46677.0
