,人民检察院刑事审判监督已纠正件次,人民检察院审查批捕环节已纠正件次,人民检察院审查起诉环节已纠正件次,人民检察院已纠正件次,人民检察院已纠正侦查监督件次,人民检察院已纠正减刑、假释、保外就医人次,人民检察院已纠正刑罚执行监督人次,人民检察院已纠正监管活动人次,人民检察院已纠正超期羁押人次,人民检察院监督撤案已纠正件次,人民检察院监督立案已纠正件次,人民检察院立案监督已纠正件次
1978年,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0,0,0,0
2002年,0,0,0,0,0,0,0,0,0,0,0,0
2003年,0,0,0,0,0,0,0,0,0,0,0,0
2004年,0,0,0,0,0,0,0,0,0,0,0,0
2005年,0,0,0,0,0,0,0,0,0,0,0,0
2006年,0,0,0,0,0,0,0,0,0,0,0,0
2007年,1993,7550,6623,38351,14173,3706,9551,5788,57,4764,17421,22185
2008年,2368,11943,8733,50016,20676,4990,16509,11307,212,6774,20198,26972
2009年,3425,14005,10224,53862,24229,9709,31717,21675,333,6742,19466,26208
2010年,6209,18415,14184,80714,32599,10718,31185,19942,525,10703,31203,41906
2011年,8160,20450,17767,78030,38217,11799,35929,23888,242,11867,19786,31653
2012年,11799,30238,25344,115381,55582,14510,47253,32165,578,20163,27837,48000
2013年,16778,36650,33782,141780,70432,16708,60013,42873,432,25211,29359,54570
2014年,9891,0,0,100804,52004,23827,67942,43618,497,17673,21236,38909
