,专业店年末从业人数,专卖店年末从业人数,仓储会员店年末从业人数,便利店年末从业人数,其他业态连锁零售企业年末从业人数,加油站年末从业人数,厂家直销中心年末从业人数,大型超市年末从业人数,家居建材商店年末从业人数,折扣店年末从业人数,百货店年末从业人数,超市年末从业人数
1978年,,,,,,,,,,,,
1979年,,,,,,,,,,,,
1980年,,,,,,,,,,,,
1981年,,,,,,,,,,,,
1982年,,,,,,,,,,,,
1983年,,,,,,,,,,,,
1984年,,,,,,,,,,,,
1985年,,,,,,,,,,,,
1986年,,,,,,,,,,,,
1987年,,,,,,,,,,,,
1988年,,,,,,,,,,,,
1989年,,,,,,,,,,,,
1990年,,,,,,,,,,,,
1991年,,,,,,,,,,,,
1992年,,,,,,,,,,,,
1993年,,,,,,,,,,,,
1994年,,,,,,,,,,,,
1995年,,,,,,,,,,,,
1996年,,,,,,,,,,,,
1997年,,,,,,,,,,,,
1998年,,,,,,,,,,,,
1999年,,,,,,,,,,,,
2000年,,,,,,,,,,,,
2001年,,,,,,,,,,,,
2002年,14.8637,2.3158,,,1.4503,,,,,,10.8697,31.0079
2003年,27.5912,2.7272,,,0.2283,,,,,,12.164,44.4362
2004年,31.7156,3.2588,,,0.0918,,,,,,13.9048,51.0827
2005年,66.3096,5.9978,0.3048,6.6961,,25.8113,,,1.7417,,18.1182,60.9396
2006年,80.5764,9.3645,0.3795,7.8929,,17.7808,,,0.8268,,17.7147,65.4477
2007年,66.9755,10.8923,1.211,9.2721,0.5236,22.49,0.0355,30.5259,1.0379,0.7448,15.9171,37.5633
2008年,74.4764,12.4207,1.3092,9.7858,0.5716,23.8823,0.0357,35.8215,1.2169,0.9432,18.5307,41.9659
2009年,75.2892,16.0642,1.4545,9.2789,1.5559,26.0052,0.1028,32.6643,0.9479,0.7979,23.8641,48.8642
2010年,83.1,16.9,1.2,7.5,1.4,28.5,0.1,38.6,0.7,0.7,25.0,49.9
2011年,96.3436,16.7492,5.9354,7.0977,2.5142,31.656,0.0535,33.2818,0.7831,0.8109,26.5355,58.9505
2012年,93.7905,17.4316,1.3981,6.9518,8.5905,25.9782,,53.1595,0.3853,0.4403,25.5129,48.653
2013年,93.4947,16.1,1.6225,7.373,6.5724,28.6204,0.1161,55.6364,0.3603,0.3027,27.6796,46.7246
2014年,94.3137,14.5645,1.526,7.8135,4.5091,29.7328,0.378,56.1832,0.401,0.2093,25.8058,44.463
