,五金、家具及室内装修材料专门零售门店总数,医药及医疗器材专门零售门店总数,家用电器及电子产品专门零售门店总数,文化、体育用品及器材专门零售门店总数,无店铺及其他零售门店总数,汽车、摩托车、燃料及零配件专门零售门店总数,纺织、服装及日用品专门零售门店总数,综合零售门店总数,食品、饮料及烟草制品专门零售门店总数
1978年,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0
2002年,0,0,0,0,0,0,0,0,0
2003年,0,0,0,0,0,0,0,0,0
2004年,0,0,0,0,0,0,0,0,0
2005年,96,18449,2392,3117,136,12114,3107,33347,3127
2006年,129,21090,2829,2905,243,8962,9660,39688,4998
2007年,153,26412,3428,1554,176,7193,12544,48020,4201
2008年,177,30844,4060,1562,189,7707,13821,52761,4773
2009年,147,30543,2949,2093,822,19583,11192,56568,9105
2010年,116,31049,3165,2018,458,16428,12184,62657,8553
2011年,147,32486,5144,1643,287,13711,18185,63493,7516
2012年,147,35835,6886,1732,132,11999,10507,62948,9047
2013年,163,39319,6982,1651,184,12792,11858,65022,11865
2014年,185,41570,6997,1660,120,13344,11737,67090,12747
