,专业店零售营业面积,专卖店零售营业面积,仓储会员店零售营业面积,便利店零售营业面积,其他业态连锁零售企业零售营业面积,加油站零售营业面积,厂家直销中心零售营业面积,大型超市零售营业面积,家居建材商店零售营业面积,折扣店零售营业面积,百货店零售营业面积,超市零售营业面积
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,352.5512,34.1714,0.0,0.0,37.6478,0.0,0.0,0.0,0.0,0.0,334.6435,930.4755
2003年,887.871,32.03,0.0,0.0,3.8457,0.0,0.0,0.0,0.0,0.0,455.9992,1331.4138
2004年,1187.4235,39.3422,0.0,0.0,1.6579,0.0,0.0,0.0,0.0,0.0,611.057,1594.3112
2005年,5435.5825,71.3988,9.9255,123.3201,0.0,4376.2629,0.0,0.0,131.5419,0.0,868.8532,2046.8624
2006年,4969.125,132.871,13.2114,143.7804,0.0,3040.1697,0.0,0.0,96.1564,0.0,937.8958,2450.0729
2007年,4565.4326,220.6644,39.6372,126.5821,48.382,3278.0998,5.1633,1124.497,67.7785,18.4114,940.1701,1735.4134
2008年,5111.2057,319.593,43.982,184.1747,20.251,3412.7403,6.5473,1324.9279,94.8882,22.4518,1110.4026,1959.4052
2009年,6075.3451,247.1493,54.841,144.2707,72.7411,4295.232,3.2427,1844.7677,79.2936,24.3244,1338.3742,1924.8523
2010年,6755.3,450.2,54.4,107.2,52.9,4741.6,4.0,1843.7,62.5,21.4,1480.6,1924.5
2011年,7142.531,366.7129,234.1744,109.665,55.9865,4737.8976,0.1581,1760.6241,60.7638,26.8552,1722.2969,2190.8917
2012年,6480.3842,471.2117,90.4401,111.1722,1348.2807,3666.2551,0.5776,2744.8581,32.4119,18.5354,1696.7286,1771.2543
2013年,6848.198,477.8,64.8142,131.3541,1231.7252,4079.5733,3.0523,3106.5188,44.9827,17.7325,1860.907,1853.2925
2014年,8260.7567,444.0702,66.3795,144.803,255.0251,5490.3967,3.271,3109.153,44.5003,17.7007,1984.8085,1890.816
