,五金、家具及室内装修材料专门零售年末从业人数,医药及医疗器材专门零售年末从业人数,家用电器及电子产品专门零售年末从业人数,文化、体育用品及器材专门零售年末从业人数,无店铺及其他零售年末从业人数,汽车、摩托车、燃料及零配件专门零售年末从业人数,纺织、服装及日用品专门零售年末从业人数,综合零售年末从业人数,食品、饮料及烟草制品专门零售年末从业人数
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,1.286,10.692,18.6047,2.2168,0.1122,11.1793,4.7846,85.6093,2.4577
2006年,1.1182,12.2381,19.3263,2.6305,0.1387,7.8236,4.7565,90.9034,3.1386
2007年,1.3446,14.3811,19.087,2.8869,0.1133,6.3922,6.3477,93.0344,2.8664
2008年,1.4936,16.7665,21.5988,3.1628,0.1087,6.9539,7.8326,105.2291,3.2538
2009年,1.253,17.0139,11.9307,4.2885,0.546,16.5621,8.9311,125.4596,5.322
2010年,0.9,17.6,13.2,4.5,0.4,15.6,6.3,137.7,4.5
2011年,1.1356,18.6825,31.8761,3.2913,0.2891,14.5904,8.0749,135.0762,4.0794
2012年,0.6515,25.5201,27.2687,3.6135,0.0859,13.6871,6.7407,138.2943,4.9213
2013年,0.6044,22.8,26.287,3.8843,0.1403,13.5184,7.1258,141.544,5.6951
2014年,0.6333,23.35,26.3421,3.6648,0.0881,12.924,7.3421,138.1418,5.7573
