,中外合作经营连锁零售企业商品销售额,中外合资经营连锁零售企业商品销售额,其他外商投资连锁零售企业商品销售额,其他有限责任公司连锁零售企业商品销售额,其他港澳台商投资连锁零售企业商品销售额,其他联营连锁零售企业商品销售额,其他连锁零售企业商品销售额,内资连锁零售企业商品销售额,国有与集体联营连锁零售企业商品销售额,国有独资公司连锁零售企业商品销售额,国有联营连锁零售企业商品销售额,国有连锁零售企业商品销售额,外商投资股份有限公司连锁零售企业商品销售额,外商投资连锁零售企业商品销售额,外资连锁零售企业商品销售额,有限责任公司连锁零售企业商品销售额,港澳台商合作经营连锁零售企业商品销售额,港澳台商合资经营连锁零售企业商品销售额,港澳台商投资股份有限公司连锁零售企业商品销售额,港澳台商投资连锁零售企业商品销售额,港澳台商独资经营连锁零售企业商品销售额,私营合伙连锁零售企业商品销售额,私营有限责任公司连锁零售企业商品销售额,私营独资连锁零售企业商品销售额,私营股份有限公司连锁零售企业商品销售额,私营连锁零售企业商品销售额,联营连锁零售企业商品销售额,股份合作连锁零售企业商品销售额,股份有限公司连锁零售企业商品销售额,连锁零售企业商品销售额,集体联营连锁零售企业商品销售额,集体连锁零售企业商品销售额
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2658.2833,0.0,0.0
2003年,256.5876,199.9318,0.0,939.3175,0.0,2.4343,6.1909,3527.4892,85.7778,58.0956,2.2192,375.0154,0.0,462.442,5.9226,1017.0171,30.1948,225.7989,1.4368,265.0428,2.1607,0.5535,601.1892,12.2162,35.24,667.4166,90.4314,26.8863,1306.7449,4258.6343,0.0,37.7867
2004年,323.5355,267.8955,0.0,1202.8422,0.0,2.0188,6.4475,4636.5634,128.2658,73.3743,2.4983,504.4732,0.0,600.3559,8.9249,1305.668,44.7801,284.6011,3.3563,339.5424,2.3973,0.6528,772.4855,14.6876,45.4374,858.9672,132.7829,26.8053,1752.6977,8393.6,0.0,48.7216
2005年,508.4885,550.449,0.0,1877.6908,0.0,1.8345,7.8266,10864.7114,133.058,70.8811,7.8661,1900.4132,0.0,1120.0972,61.1596,1948.5719,19.4373,466.044,33.519,602.9704,83.9701,19.5382,869.0701,32.879,52.6547,974.142,146.0767,81.3342,5780.653,12587.8,3.3181,25.6938
2006年,511.6805,877.8555,0.0,1962.3825,0.0,1.0701,20.6894,12924.7276,123.7262,233.4397,10.073,1313.4581,0.6729,1588.3967,198.1879,2195.8222,17.451,310.4336,1.758,439.0565,109.4139,25.3389,1073.755,34.8139,93.7751,1227.6829,134.9746,15.2137,7983.5142,14952.2,1.1754,33.3725
2007年,406.76366,1179.74014,0.0,2717.41007,0.0,1.92452,16.95128,14314.93967,0.04582,124.78448,10.83433,2024.69997,0.91715,2008.40298,420.98203,2842.19455,24.66041,306.16003,2.74232,608.13069,274.56793,13.02355,889.42393,24.85157,57.01978,984.31883,13.2343,20.26312,8337.51567,17754.3447,0.42963,75.76195
2008年,496.9149,1495.5952,0.0,3259.77337,0.0,2.26117,18.78607,17242.5975,0.06231,136.00948,11.88469,2511.25781,8.2591,2496.70309,495.93389,3395.78285,30.31248,351.22607,1.65012,727.22686,344.03819,16.21566,1075.2739,29.41456,88.65939,1209.56351,14.4366,30.03599,9979.64923,20466.52745,0.22843,83.08544
2009年,211.5711,1359.8697,0.0,3128.6235,0.0,25.7,13.3513,18602.7179,0.0867,60.7133,5.629,2400.4449,12.8408,2319.9474,735.6658,3189.3368,488.9557,421.2312,1.3192,1317.3359,405.8297,18.9429,1056.5541,69.5923,223.352,1368.4413,31.4157,56.5084,11033.8955,22240.0012,0.0,509.3239
2010年,221.8186,1572.6916,0.0,3833.9176,0.0,2.7481,28.335,23324.631,0.0869,71.4168,17.4342,3643.5355,6.0807,2480.6181,680.0272,3905.3343,655.925,320.284,13.83,1580.177,590.138,14.2521,1123.1049,19.8032,275.4275,1432.5877,20.2693,36.1022,14207.5065,27385.4261,0.0,50.9605
2011年,241.62765,1914.85592,0.0,4777.5102,344.18366,3.08205,143.85233,29530.13827,0.07964,44.88997,3.79963,4600.52395,6.61319,2902.60383,739.50707,4822.40017,636.84772,371.63175,0.0,2077.95058,725.28745,25.96282,1338.04413,15.23469,237.17175,1616.41339,6.96132,28.09643,18261.0276,34510.69268,0.0,50.86308
2012年,225.22971,2038.71598,0.0,5056.42152,379.93642,4.46539,63.91301,30107.72716,0.08326,57.49097,8.46052,4849.80428,5.37264,2977.86034,708.54201,5113.91249,691.61086,377.47298,7.77719,2376.48913,919.69168,21.36068,1461.13062,26.87416,136.60936,1645.97482,13.00917,122.96027,18232.36823,35462.07663,0.0,65.78489
2013年,255.8747,2113.1897,0.2451,5790.2901,239.1427,3.7282,55.5938,32368.031,0.0918,90.8451,8.6525,5110.2501,2.0587,3118.828,747.4598,5881.1352,802.2433,423.5732,21.6927,2520.012,1033.3602,22.5791,1679.6867,26.2511,373.9121,2102.429,12.4724,114.9908,18985.4245,38006.871,0.0,105.7352
2014年,275.5756,2109.3929,0.312,5730.2497,338.5201,3.2074,54.4541,31775.6055,0.0814,80.8386,6.0226,4630.299,2.3856,3244.3037,856.6376,5811.0883,420.3,449.9363,20.7072,2320.6987,1091.235,23.1376,2079.7962,36.3769,400.7607,2540.0714,9.3114,123.7698,18513.2129,37340.6078,0.0,93.3986
