,民办中等教育学校数,民办中等职业教育学校数,民办其他高等教育机构学校数,民办初中阶段教育学校数,民办培训机构学校数,民办幼儿园学校数,民办普通初中学校数,民办普通小学学校数,民办普通高中学校数,民办独立学院学校数,民办职业初中学校数,民办高中阶段教育学校数,民办高校学校数,民办高等教育学校数
1978年,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,
2004年,,,1187.0,,,,,,,,,,,
2005年,,,1077.0,,,,,,,,,,,
2006年,,,994.0,,,,,,,,,,,
2007年,,,906.0,,,,,,,,,,,
2008年,,,866.0,,,,,,,,,,,
2009年,,3198.0,812.0,4335.0,19395.0,89304.0,4331.0,5496.0,2670.0,322.0,4.0,5868.0,658.0,
2010年,,3123.0,836.0,4259.0,18341.0,102289.0,4259.0,5351.0,2499.0,323.0,,5622.0,676.0,
2011年,,2856.0,830.0,4282.0,21403.0,115404.0,4282.0,5186.0,2394.0,309.0,,5250.0,698.0,
2012年,,2649.0,823.0,4333.0,20155.0,124638.0,4333.0,5213.0,2371.0,303.0,,5020.0,707.0,
2013年,,2482.0,802.0,4535.0,20104.0,133451.0,4535.0,5407.0,2375.0,292.0,,4857.0,718.0,
2014年,,2343.0,799.0,4744.0,20001.0,139282.0,4743.0,5681.0,2442.0,283.0,,4785.0,728.0,
