,民办中等教育招生数,民办中等职业教育招生数,民办其他高等教育机构招生数,民办初中阶段教育招生数,民办培训机构招生数,民办幼儿园招生数,民办普通初中招生数,民办普通小学招生数,民办普通高中招生数,民办独立学院专科招生数,民办独立学院招生数,民办独立学院本科招生数,民办职业初中招生数,民办高中阶段教育招生数,民办高校专科招生数,民办高校招生数,民办高校本科招生数,民办高等教育招生数
1978年,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,
2009年,,128.0388,,148.4946,,574.6897,148.4681,84.022,81.3687,7.3683,69.1231,61.7548,0.0265,209.4075,67.3049,140.1477,72.8428,
2010年,,113.1938,,153.208,,711.6312,153.208,94.7235,80.9462,6.6274,75.4657,68.8383,,194.14,64.1547,146.7431,82.5884,
2011年,,95.7407,,153.6479,,813.3958,153.6479,100.8252,83.537,5.675,74.6028,68.9278,,179.2777,65.4101,153.7292,88.3191,
2012年,,83.7547,,157.8051,,865.6223,157.8051,104.4393,82.1302,5.3955,75.6927,70.2972,,165.8849,65.7499,160.2828,94.5174,
2013年,,73.1593,,162.1113,,907.9575,162.1113,111.2846,79.8192,4.7892,68.8917,64.1025,,152.9785,68.0307,160.1879,92.1391,
2014年,,71.9522,,167.7377,,953.6605,167.7353,114.8019,82.7299,4.5583,65.1237,60.5654,,154.6821,80.1697,172.9617,92.775,
