,民办中等教育毕业生数,民办中等职业教育毕业生数,民办其他高等教育机构毕业生数,民办初中阶段教育毕业生数,民办培训机构毕业生数,民办幼儿园毕业生数,民办普通初中毕业生数,民办普通小学毕业生数,民办普通高中毕业生数,民办独立学院专科毕业生数,民办独立学院本科毕业生数,民办独立学院毕业生数,民办职业初中毕业生数,民办高中阶段教育毕业生数,民办高校专科毕业生数,民办高校本科毕业生数,民办高校毕业生数,民办高等教育毕业生数
1978年,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,
2009年,,81.7489,,128.5198,,350.072,128.4559,82.0993,78.4872,6.8902,38.056,44.9462,0.0639,160.2361,50.4174,42.8704,93.2878,
2010年,,96.7147,,129.8601,,388.935,129.8201,86.4287,74.2839,7.2665,44.3503,51.6168,0.04,170.9986,58.9964,50.6959,109.6923,
2011年,,91.7114,,131.1881,,467.1427,131.1881,88.5433,72.4905,6.3076,47.9562,54.2638,,164.2019,64.9902,57.9675,122.9577,
2012年,,88.5895,,134.1982,,590.0634,134.1982,96.8714,73.4095,5.838,52.688,58.526,,161.999,64.3072,66.2629,130.5701,
2013年,,79.0714,,138.4917,,634.7047,138.4917,100.8291,74.7589,4.97,54.3697,59.3397,,153.8303,61.3185,71.9535,133.272,
2014年,,73.9472,,142.1784,,673.7691,142.1774,104.5563,74.4437,4.3809,58.1894,62.5703,,148.3909,61.1442,80.8097,141.9645,
