,民办中等职业教育另有其他学生数,民办其他高等教育机构另有其他学生数,民办培训机构另有其他学生数,民办独立学院另有其他学生数,民办高校另有其他学生数
1978年,,,,,
1979年,,,,,
1980年,,,,,
1981年,,,,,
1982年,,,,,
1983年,,,,,
1984年,,,,,
1985年,,,,,
1986年,,,,,
1987年,,,,,
1988年,,,,,
1989年,,,,,
1990年,,,,,
1991年,,,,,
1992年,,,,,
1993年,,,,,
1994年,,,,,
1995年,,,,,
1996年,,,,,
1997年,,,,,
1998年,,,,,
1999年,,,,,
2000年,,,,,
2001年,,,,,
2002年,,,,,
2003年,,,,,
2004年,,,,,
2005年,,,,,
2006年,,,,,
2007年,,,,,
2008年,,,,,
2009年,40.0763,85.2219,844.9263,1.5962,19.3942
2010年,35.9683,92.1841,929.7762,1.8736,20.6078
2011年,37.6946,88.1399,955.456,2.9128,26.0042
2012年,34.8246,82.8241,860.6443,3.408,22.0351
2013年,30.2303,87.9922,943.5604,2.8956,25.8426
2014年,29.4471,88.3009,867.9377,2.9095,31.7345
