,专用设备制造业私营工业企业应交所得税,交通运输设备制造业私营工业企业应交所得税,仪器仪表及文化办公用机械制造业私营工业企业应交所得税,其他矿采选业私营工业企业应交所得税,其它制造业私营工业企业应交所得税,化学原料及化学制品制造业私营工业企业应交所得税,化学纤维制造业私营工业企业应交所得税,医药制造业私营工业企业应交所得税,印刷业、记录媒介的复制私营工业企业应交所得税,塑料制品业私营工业企业应交所得税,家具制造业私营工业企业应交所得税,文教体育用品制造业私营工业企业应交所得税,普通机械制造业私营工业企业应交所得税,有色金属冶炼及压延加工业私营工业企业应交所得税,有色金属矿采选业私营工业企业应交所得税,服装及其他纤维制品制造业私营工业企业应交所得税,木材加工及竹、藤、棕、草制品业私营工业企业应交所得税,木材及竹材采运业私营工业企业应交所得税,橡胶制品业私营工业企业应交所得税,烟草加工业私营工业企业应交所得税,煤气生产和供应业私营工业企业应交所得税,煤炭采选业私营工业企业应交所得税,电力、蒸汽、热水的生产和供应业私营工业企业应交所得税,电子及通信设备制造业私营工业企业应交所得税,电气机械及器材制造业私营工业企业应交所得税,皮革、毛皮、羽绒及其制品业私营工业企业应交所得税,石油加工及炼焦业私营工业企业应交所得税,石油和天然气开采业私营工业企业应交所得税,私营工业企业应交所得税,纺织业私营工业企业应交所得税,自来水的生产和供应业私营工业企业应交所得税,造纸及纸制品业私营工业企业应交所得税,金属制品业私营工业企业应交所得税,非金属矿物制造业私营工业企业应交所得税,非金属矿采选业私营工业企业应交所得税,食品制造业私营工业企业应交所得税,食品加工业私营工业企业应交所得税,饮料制造业私营工业企业应交所得税,黑色金属冶炼及压延加工业私营工业企业应交所得税,黑色金属矿采选业私营工业企业应交所得税
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,1.59018,1.68497,0.24123,0.00137,0.7349,2.0734,0.07577,0.69295,0.35916,1.48643,0.47121,0.36181,2.35337,0.97737,0.11543,1.94392,0.7134,,0.42738,,0.00412,0.16102,0.61013,1.36502,2.84704,0.48641,0.45025,0.06901,35.28186,2.90403,0.00105,0.65408,2.19245,2.52446,0.20452,0.61649,1.43783,0.51201,1.72568,0.21201
