,专用设备制造业私营工业企业财务费用,交通运输设备制造业私营工业企业财务费用,仪器仪表及文化办公用机械制造业私营工业企业财务费用,其他矿采选业私营工业企业财务费用,其它制造业私营工业企业财务费用,化学原料及化学制品制造业私营工业企业财务费用,化学纤维制造业私营工业企业财务费用,医药制造业私营工业企业财务费用,印刷业、记录媒介的复制私营工业企业财务费用,塑料制品业私营工业企业财务费用,家具制造业私营工业企业财务费用,文教体育用品制造业私营工业企业财务费用,普通机械制造业私营工业企业财务费用,有色金属冶炼及压延加工业私营工业企业财务费用,有色金属矿采选业私营工业企业财务费用,服装及其他纤维制品制造业私营工业企业财务费用,木材加工及竹、藤、棕、草制品业私营工业企业财务费用,木材及竹材采运业私营工业企业财务费用,橡胶制品业私营工业企业财务费用,烟草加工业私营工业企业财务费用,煤气生产和供应业私营工业企业财务费用,煤炭采选业私营工业企业财务费用,电力、蒸汽、热水的生产和供应业私营工业企业财务费用,电子及通信设备制造业私营工业企业财务费用,电气机械及器材制造业私营工业企业财务费用,皮革、毛皮、羽绒及其制品业私营工业企业财务费用,石油加工及炼焦业私营工业企业财务费用,石油和天然气开采业私营工业企业财务费用,私营工业企业财务费用,纺织业私营工业企业财务费用,自来水的生产和供应业私营工业企业财务费用,造纸及纸制品业私营工业企业财务费用,金属制品业私营工业企业财务费用,非金属矿物制造业私营工业企业财务费用,非金属矿采选业私营工业企业财务费用,食品制造业私营工业企业财务费用,食品加工业私营工业企业财务费用,饮料制造业私营工业企业财务费用,黑色金属冶炼及压延加工业私营工业企业财务费用,黑色金属矿采选业私营工业企业财务费用
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,2.29201,2.95306,0.35978,0.00334,0.98545,4.22853,0.23079,1.23847,0.59786,2.6544,1.02057,0.60352,4.2104,2.73415,0.31408,3.33896,1.54965,,0.76742,0.00895,0.00162,0.37014,0.57936,1.26347,4.33462,1.87015,0.99433,0.03545,72.0344,7.32858,0.01571,2.12011,4.06619,8.1768,0.3754,1.8471,4.45465,1.69559,2.05234,0.3614
