,专用设备制造业私营工业企业管理费用,交通运输设备制造业私营工业企业管理费用,仪器仪表及文化办公用机械制造业私营工业企业管理费用,其他矿采选业私营工业企业管理费用,其它制造业私营工业企业管理费用,化学原料及化学制品制造业私营工业企业管理费用,化学纤维制造业私营工业企业管理费用,医药制造业私营工业企业管理费用,印刷业、记录媒介的复制私营工业企业管理费用,塑料制品业私营工业企业管理费用,家具制造业私营工业企业管理费用,文教体育用品制造业私营工业企业管理费用,普通机械制造业私营工业企业管理费用,有色金属冶炼及压延加工业私营工业企业管理费用,有色金属矿采选业私营工业企业管理费用,服装及其他纤维制品制造业私营工业企业管理费用,木材加工及竹、藤、棕、草制品业私营工业企业管理费用,木材及竹材采运业私营工业企业管理费用,橡胶制品业私营工业企业管理费用,烟草加工业私营工业企业管理费用,煤气生产和供应业私营工业企业管理费用,煤炭采选业私营工业企业管理费用,电力、蒸汽、热水的生产和供应业私营工业企业管理费用,电子及通信设备制造业私营工业企业管理费用,电气机械及器材制造业私营工业企业管理费用,皮革、毛皮、羽绒及其制品业私营工业企业管理费用,石油加工及炼焦业私营工业企业管理费用,石油和天然气开采业私营工业企业管理费用,私营工业企业管理费用,纺织业私营工业企业管理费用,自来水的生产和供应业私营工业企业管理费用,造纸及纸制品业私营工业企业管理费用,金属制品业私营工业企业管理费用,非金属矿物制造业私营工业企业管理费用,非金属矿采选业私营工业企业管理费用,食品制造业私营工业企业管理费用,食品加工业私营工业企业管理费用,饮料制造业私营工业企业管理费用,黑色金属冶炼及压延加工业私营工业企业管理费用,黑色金属矿采选业私营工业企业管理费用
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,8.30353,8.86431,1.96866,0.00233,3.1342,11.24517,0.50222,4.57819,1.6008,6.63765,2.41745,2.43023,11.61256,3.95856,1.01926,9.28155,2.82416,,1.60792,0.00015,0.02497,0.83421,0.53527,6.96515,12.90943,3.1635,1.59032,0.06077,180.25772,12.29168,0.02291,4.57364,10.92754,16.16128,0.94766,3.7719,9.47815,4.45439,8.92432,0.63173
