,专用设备制造业私营工业企业法人资本金,交通运输设备制造业私营工业企业法人资本金,仪器仪表及文化办公用机械制造业私营工业企业法人资本金,其他矿采选业私营工业企业法人资本金,其它制造业私营工业企业法人资本金,化学原料及化学制品制造业私营工业企业法人资本金,化学纤维制造业私营工业企业法人资本金,医药制造业私营工业企业法人资本金,印刷业、记录媒介的复制私营工业企业法人资本金,塑料制品业私营工业企业法人资本金,家具制造业私营工业企业法人资本金,文教体育用品制造业私营工业企业法人资本金,普通机械制造业私营工业企业法人资本金,有色金属冶炼及压延加工业私营工业企业法人资本金,有色金属矿采选业私营工业企业法人资本金,服装及其他纤维制品制造业私营工业企业法人资本金,木材加工及竹、藤、棕、草制品业私营工业企业法人资本金,木材及竹材采运业私营工业企业法人资本金,橡胶制品业私营工业企业法人资本金,烟草加工业私营工业企业法人资本金,煤气生产和供应业私营工业企业法人资本金,煤炭采选业私营工业企业法人资本金,电力、蒸汽、热水的生产和供应业私营工业企业法人资本金,电子及通信设备制造业私营工业企业法人资本金,电气机械及器材制造业私营工业企业法人资本金,皮革、毛皮、羽绒及其制品业私营工业企业法人资本金,石油加工及炼焦业私营工业企业法人资本金,石油和天然气开采业私营工业企业法人资本金,私营工业企业法人资本金,纺织业私营工业企业法人资本金,自来水的生产和供应业私营工业企业法人资本金,造纸及纸制品业私营工业企业法人资本金,金属制品业私营工业企业法人资本金,非金属矿物制造业私营工业企业法人资本金,非金属矿采选业私营工业企业法人资本金,食品制造业私营工业企业法人资本金,食品加工业私营工业企业法人资本金,饮料制造业私营工业企业法人资本金,黑色金属冶炼及压延加工业私营工业企业法人资本金,黑色金属矿采选业私营工业企业法人资本金
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,9.7447,14.73414,1.60204,0.0085,3.22323,17.31302,0.5171,10.23003,1.84638,11.28549,8.85466,2.41829,12.51313,8.33193,1.21219,12.93674,8.02756,,1.989,,0.15581,1.73889,4.08924,6.02344,13.29883,7.62537,6.51184,0.3,299.85946,15.49825,0.02067,6.81542,15.00478,39.45598,1.65008,9.11066,19.85742,9.01645,15.5268,1.3714
