,专用设备制造业私营工业亏损企业亏损总额,交通运输设备制造业私营工业亏损企业亏损总额,仪器仪表及文化办公用机械制造业私营工业亏损企业亏损总额,其他矿采选业私营工业亏损企业亏损总额,其它制造业私营工业亏损企业亏损总额,化学原料及化学制品制造业私营工业亏损企业亏损总额,化学纤维制造业私营工业亏损企业亏损总额,医药制造业私营工业亏损企业亏损总额,印刷业、记录媒介的复制私营工业亏损企业亏损总额,塑料制品业私营工业亏损企业亏损总额,家具制造业私营工业亏损企业亏损总额,文教体育用品制造业私营工业亏损企业亏损总额,普通机械制造业私营工业亏损企业亏损总额,有色金属冶炼及压延加工业私营工业亏损企业亏损总额,有色金属矿采选业私营工业亏损企业亏损总额,服装及其他纤维制品制造业私营工业亏损企业亏损总额,木材加工及竹、藤、棕、草制品业私营工业亏损企业亏损总额,木材及竹材采运业私营工业亏损企业亏损总额,橡胶制品业私营工业亏损企业亏损总额,烟草加工业私营工业亏损企业亏损总额,煤气生产和供应业私营工业亏损企业亏损总额,煤炭采选业私营工业亏损企业亏损总额,电力、蒸汽、热水的生产和供应业私营工业亏损企业亏损总额,电子及通信设备制造业私营工业亏损企业亏损总额,电气机械及器材制造业私营工业亏损企业亏损总额,皮革、毛皮、羽绒及其制品业私营工业亏损企业亏损总额,石油加工及炼焦业私营工业亏损企业亏损总额,石油和天然气开采业私营工业亏损企业亏损总额,私营工业亏损企业亏损总额,纺织业私营工业亏损企业亏损总额,自来水的生产和供应业私营工业亏损企业亏损总额,造纸及纸制品业私营工业亏损企业亏损总额,金属制品业私营工业亏损企业亏损总额,非金属矿物制造业私营工业亏损企业亏损总额,非金属矿采选业私营工业亏损企业亏损总额,食品制造业私营工业亏损企业亏损总额,食品加工业私营工业亏损企业亏损总额,饮料制造业私营工业亏损企业亏损总额,黑色金属冶炼及压延加工业私营工业亏损企业亏损总额,黑色金属矿采选业私营工业亏损企业亏损总额
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.3669,1.01496,0.03479,0.00061,0.08814,1.74251,0.07235,0.45327,0.16743,0.61466,0.03831,0.09138,0.92516,0.99578,0.18572,0.71038,0.32649,0.0,0.11425,0.0,0.01161,0.27852,0.15899,0.82546,1.15238,0.32385,0.40957,0.0,23.52975,1.05949,0.01224,0.76421,0.87085,3.98014,0.08029,1.08499,1.72612,1.62154,1.1549,0.07151
2001年,0.72131,1.0667,0.10667,0.0,0.27793,2.38123,0.37946,1.22106,0.23468,0.7771,0.12804,0.10924,1.25478,2.22518,0.6075,0.85622,0.69147,0.0027,0.18486,0.03901,0.12356,0.29686,0.20337,0.44818,1.06134,0.34959,0.71671,0.0,33.45307,3.00328,0.01199,1.24465,1.2233,4.43904,0.06593,1.16813,2.46258,1.12124,2.06323,0.18495
2002年,0.99005,0.81503,0.2263,0.01872,0.43776,2.73851,0.44447,1.47302,0.27889,0.93851,0.18052,0.13731,1.78664,2.52315,0.20064,1.14286,0.59545,0.0,0.24176,0.0,0.13181,0.41186,0.51682,1.44719,1.70271,0.34951,0.87235,0.0,39.68211,3.41786,0.05293,1.19898,1.29117,5.374,0.20695,1.19794,2.09291,1.52135,2.41825,0.30793
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
