,专用设备制造业私营工业企业累计折旧,交通运输设备制造业私营工业企业累计折旧,仪器仪表及文化办公用机械制造业私营工业企业累计折旧,其他矿采选业私营工业企业累计折旧,其它制造业私营工业企业累计折旧,化学原料及化学制品制造业私营工业企业累计折旧,化学纤维制造业私营工业企业累计折旧,医药制造业私营工业企业累计折旧,印刷业、记录媒介的复制私营工业企业累计折旧,塑料制品业私营工业企业累计折旧,家具制造业私营工业企业累计折旧,文教体育用品制造业私营工业企业累计折旧,普通机械制造业私营工业企业累计折旧,有色金属冶炼及压延加工业私营工业企业累计折旧,有色金属矿采选业私营工业企业累计折旧,服装及其他纤维制品制造业私营工业企业累计折旧,木材加工及竹、藤、棕、草制品业私营工业企业累计折旧,木材及竹材采运业私营工业企业累计折旧,橡胶制品业私营工业企业累计折旧,烟草加工业私营工业企业累计折旧,煤气生产和供应业私营工业企业累计折旧,煤炭采选业私营工业企业累计折旧,电力、蒸汽、热水的生产和供应业私营工业企业累计折旧,电子及通信设备制造业私营工业企业累计折旧,电气机械及器材制造业私营工业企业累计折旧,皮革、毛皮、羽绒及其制品业私营工业企业累计折旧,石油加工及炼焦业私营工业企业累计折旧,石油和天然气开采业私营工业企业累计折旧,私营工业企业累计折旧,纺织业私营工业企业累计折旧,自来水的生产和供应业私营工业企业累计折旧,造纸及纸制品业私营工业企业累计折旧,金属制品业私营工业企业累计折旧,非金属矿物制造业私营工业企业累计折旧,非金属矿采选业私营工业企业累计折旧,食品制造业私营工业企业累计折旧,食品加工业私营工业企业累计折旧,饮料制造业私营工业企业累计折旧,黑色金属冶炼及压延加工业私营工业企业累计折旧,黑色金属矿采选业私营工业企业累计折旧
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,12.656,14.74422,2.01857,0.00936,3.68039,23.58483,1.66508,5.74849,4.42958,15.21091,4.32223,2.94589,25.40213,9.97678,1.69783,17.76804,4.88394,0.0,5.13387,0.0168,0.0243,2.55121,3.67275,7.08015,21.85357,6.8621,4.21073,0.09119,384.89338,43.79109,0.16925,12.32413,19.97261,59.46863,2.46508,7.47371,15.21991,8.66881,11.79742,1.3018
2001年,19.23789,25.14226,3.24667,0.02275,7.79075,44.00211,10.29941,10.26837,8.36524,23.70426,7.44657,6.09247,47.99588,15.45074,2.76976,22.6948,11.6697,0.00213,6.49624,0.10006,0.52808,5.74606,8.28892,11.26797,33.22898,11.63599,6.29998,0.00095,674.51149,93.11186,0.51856,23.79481,34.76457,96.29659,3.20531,14.1811,25.14833,12.74821,18.90091,2.04625
2002年,26.75752,38.30947,5.12891,0.02358,10.54501,64.31884,12.73909,15.73234,13.62061,38.15785,9.3026,8.72869,69.16834,22.94895,5.11612,31.91976,14.89813,0.0,9.32385,0.00918,1.09769,9.39734,10.25686,16.01473,48.27075,14.02752,10.24736,0.0,972.09875,135.7712,1.15978,31.87806,49.73169,132.90136,4.12335,20.57225,37.35425,15.7996,32.44727,4.29885
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
