,专用设备制造业私营工业企业营业利润,交通运输设备制造业私营工业企业营业利润,仪器仪表及文化办公用机械制造业私营工业企业营业利润,其他矿采选业私营工业企业营业利润,其它制造业私营工业企业营业利润,化学原料及化学制品制造业私营工业企业营业利润,化学纤维制造业私营工业企业营业利润,医药制造业私营工业企业营业利润,印刷业、记录媒介的复制私营工业企业营业利润,塑料制品业私营工业企业营业利润,家具制造业私营工业企业营业利润,文教体育用品制造业私营工业企业营业利润,普通机械制造业私营工业企业营业利润,有色金属冶炼及压延加工业私营工业企业营业利润,有色金属矿采选业私营工业企业营业利润,服装及其他纤维制品制造业私营工业企业营业利润,木材加工及竹、藤、棕、草制品业私营工业企业营业利润,木材及竹材采运业私营工业企业营业利润,橡胶制品业私营工业企业营业利润,烟草加工业私营工业企业营业利润,煤气生产和供应业私营工业企业营业利润,煤炭采选业私营工业企业营业利润,电力、蒸汽、热水的生产和供应业私营工业企业营业利润,电子及通信设备制造业私营工业企业营业利润,电气机械及器材制造业私营工业企业营业利润,皮革、毛皮、羽绒及其制品业私营工业企业营业利润,石油加工及炼焦业私营工业企业营业利润,石油和天然气开采业私营工业企业营业利润,私营工业企业营业利润,纺织业私营工业企业营业利润,自来水的生产和供应业私营工业企业营业利润,造纸及纸制品业私营工业企业营业利润,金属制品业私营工业企业营业利润,非金属矿物制造业私营工业企业营业利润,非金属矿采选业私营工业企业营业利润,食品制造业私营工业企业营业利润,食品加工业私营工业企业营业利润,饮料制造业私营工业企业营业利润,黑色金属冶炼及压延加工业私营工业企业营业利润,黑色金属矿采选业私营工业企业营业利润
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,9.06361,9.4439,1.31368,0.00593,4.08494,10.87101,0.48797,4.32338,1.74627,7.7163,3.38682,1.9959,10.78946,4.98143,0.79642,9.1062,5.5747,0.0,2.23893,0.04195,0.01902,0.71434,1.85006,7.55234,15.02986,6.40563,1.65218,0.21442,186.38913,16.68083,-0.00532,3.35351,12.01948,9.12453,1.4147,3.90144,9.6162,2.79365,5.39426,0.6892
2001年,11.30306,14.55737,3.95539,0.0084,6.79026,20.20714,2.63563,5.64495,2.94973,11.4464,4.39485,4.50387,20.70227,5.02911,1.70932,13.3803,8.17417,0.00491,3.19843,-0.01341,0.17627,1.76022,2.07914,11.11444,24.18121,9.48287,2.02701,0.0126,300.51256,30.60235,0.20439,5.90631,19.19279,16.68376,1.50789,6.50724,13.73694,4.08911,9.05318,1.61269
2002年,18.63374,23.74613,4.69788,0.0016,9.41526,34.45195,3.78625,10.24078,3.93058,20.85023,5.46651,6.39558,33.55411,8.1406,2.62649,21.51146,9.88516,0.0,5.28614,0.00812,0.01106,4.20809,1.22822,16.04607,35.52169,18.59095,5.31937,0.0,494.07129,51.21284,0.15689,11.1305,32.21936,32.33822,3.13361,9.44614,23.61228,6.23114,18.69184,2.34445
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
