,专用设备制造业私营工业企业应收帐款净额,交通运输设备制造业私营工业企业应收帐款净额,仪器仪表及文化办公用机械制造业私营工业企业应收帐款净额,其他矿采选业私营工业企业应收帐款净额,其它制造业私营工业企业应收帐款净额,化学原料及化学制品制造业私营工业企业应收帐款净额,化学纤维制造业私营工业企业应收帐款净额,医药制造业私营工业企业应收帐款净额,印刷业、记录媒介的复制私营工业企业应收帐款净额,塑料制品业私营工业企业应收帐款净额,家具制造业私营工业企业应收帐款净额,文教体育用品制造业私营工业企业应收帐款净额,普通机械制造业私营工业企业应收帐款净额,有色金属冶炼及压延加工业私营工业企业应收帐款净额,有色金属矿采选业私营工业企业应收帐款净额,服装及其他纤维制品制造业私营工业企业应收帐款净额,木材加工及竹、藤、棕、草制品业私营工业企业应收帐款净额,木材及竹材采运业私营工业企业应收帐款净额,橡胶制品业私营工业企业应收帐款净额,烟草加工业私营工业企业应收帐款净额,煤气生产和供应业私营工业企业应收帐款净额,煤炭采选业私营工业企业应收帐款净额,电力、蒸汽、热水的生产和供应业私营工业企业应收帐款净额,电子及通信设备制造业私营工业企业应收帐款净额,电气机械及器材制造业私营工业企业应收帐款净额,皮革、毛皮、羽绒及其制品业私营工业企业应收帐款净额,石油加工及炼焦业私营工业企业应收帐款净额,石油和天然气开采业私营工业企业应收帐款净额,私营工业企业应收帐款净额,纺织业私营工业企业应收帐款净额,自来水的生产和供应业私营工业企业应收帐款净额,造纸及纸制品业私营工业企业应收帐款净额,金属制品业私营工业企业应收帐款净额,非金属矿物制造业私营工业企业应收帐款净额,非金属矿采选业私营工业企业应收帐款净额,食品制造业私营工业企业应收帐款净额,食品加工业私营工业企业应收帐款净额,饮料制造业私营工业企业应收帐款净额,黑色金属冶炼及压延加工业私营工业企业应收帐款净额,黑色金属矿采选业私营工业企业应收帐款净额
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,19.71472,31.80149,5.91161,0.02882,9.1091,35.49641,1.22502,12.83564,7.91556,23.21497,5.17517,5.2194,42.60657,18.35572,2.17986,26.07464,7.40806,0.0,6.17129,0.18987,0.06199,3.73067,2.51831,19.8185,57.78211,10.59393,4.17201,0.0493,556.91458,30.20682,0.07818,17.40664,35.25951,44.45874,3.27013,9.40335,19.5439,11.03357,23.96939,2.92361
2001年,32.00087,56.46491,9.54587,0.00883,17.17308,61.58546,3.26246,20.39521,12.63627,38.60128,7.13098,10.40748,71.42825,25.93572,3.1042,35.5613,11.05825,0.00169,9.6424,0.09887,0.5114,5.37362,2.0726,30.72572,79.56367,17.10799,6.7069,0.03661,875.59184,60.39095,0.38082,34.0376,60.66407,64.99214,3.7095,13.1618,29.89538,13.99562,22.99308,3.22899
2002年,53.69116,81.00003,15.13864,0.0443,22.91869,92.43002,6.02558,28.8407,19.66834,61.4871,10.68861,14.65909,115.98378,31.62162,3.52409,55.0706,15.68953,0.0,14.96181,0.23038,0.48636,8.33913,3.73848,49.07057,129.96988,26.55032,11.08031,0.0,1333.56714,103.15761,0.61685,46.57078,90.74286,94.19068,6.17427,20.28076,46.41094,17.54665,30.25005,4.71657
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
