,专用设备制造业私营工业企业销售费用,交通运输设备制造业私营工业企业销售费用,仪器仪表及文化办公用机械制造业私营工业企业销售费用,其他矿采选业私营工业企业销售费用,其它制造业私营工业企业销售费用,化学原料及化学制品制造业私营工业企业销售费用,化学纤维制造业私营工业企业销售费用,医药制造业私营工业企业销售费用,印刷业、记录媒介的复制私营工业企业销售费用,塑料制品业私营工业企业销售费用,家具制造业私营工业企业销售费用,文教体育用品制造业私营工业企业销售费用,普通机械制造业私营工业企业销售费用,有色金属冶炼及压延加工业私营工业企业销售费用,有色金属矿采选业私营工业企业销售费用,服装及其他纤维制品制造业私营工业企业销售费用,木材加工及竹、藤、棕、草制品业私营工业企业销售费用,木材及竹材采运业私营工业企业销售费用,橡胶制品业私营工业企业销售费用,烟草加工业私营工业企业销售费用,煤气生产和供应业私营工业企业销售费用,煤炭采选业私营工业企业销售费用,电力、蒸汽、热水的生产和供应业私营工业企业销售费用,电子及通信设备制造业私营工业企业销售费用,电气机械及器材制造业私营工业企业销售费用,皮革、毛皮、羽绒及其制品业私营工业企业销售费用,石油加工及炼焦业私营工业企业销售费用,石油和天然气开采业私营工业企业销售费用,私营工业企业销售费用,纺织业私营工业企业销售费用,自来水的生产和供应业私营工业企业销售费用,造纸及纸制品业私营工业企业销售费用,金属制品业私营工业企业销售费用,非金属矿物制造业私营工业企业销售费用,非金属矿采选业私营工业企业销售费用,食品制造业私营工业企业销售费用,食品加工业私营工业企业销售费用,饮料制造业私营工业企业销售费用,黑色金属冶炼及压延加工业私营工业企业销售费用,黑色金属矿采选业私营工业企业销售费用
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,7.25741,7.32075,1.57037,0.00061,3.19282,11.38856,0.40839,9.85662,1.08879,5.43821,3.60359,1.90561,9.33246,3.07997,0.71881,9.89949,2.89863,,1.5895,0.01702,0.02056,1.42983,0.34831,7.0969,17.64418,2.93454,2.92767,0.02067,178.42333,6.86412,0.03499,3.30372,10.50298,13.60411,1.91059,7.29635,12.14251,6.29983,2.90201,0.57185
