,专用设备制造业私营工业企业流动资产合计,交通运输设备制造业私营工业企业流动资产合计,仪器仪表及文化办公用机械制造业私营工业企业流动资产合计,其他矿采选业私营工业企业流动资产合计,其它制造业私营工业企业流动资产合计,化学原料及化学制品制造业私营工业企业流动资产合计,化学纤维制造业私营工业企业流动资产合计,医药制造业私营工业企业流动资产合计,印刷业、记录媒介的复制私营工业企业流动资产合计,塑料制品业私营工业企业流动资产合计,家具制造业私营工业企业流动资产合计,文教体育用品制造业私营工业企业流动资产合计,普通机械制造业私营工业企业流动资产合计,有色金属冶炼及压延加工业私营工业企业流动资产合计,有色金属矿采选业私营工业企业流动资产合计,服装及其他纤维制品制造业私营工业企业流动资产合计,木材加工及竹、藤、棕、草制品业私营工业企业流动资产合计,木材及竹材采运业私营工业企业流动资产合计,橡胶制品业私营工业企业流动资产合计,烟草加工业私营工业企业流动资产合计,煤气生产和供应业私营工业企业流动资产合计,煤炭采选业私营工业企业流动资产合计,电力、蒸汽、热水的生产和供应业私营工业企业流动资产合计,电子及通信设备制造业私营工业企业流动资产合计,电气机械及器材制造业私营工业企业流动资产合计,皮革、毛皮、羽绒及其制品业私营工业企业流动资产合计,石油加工及炼焦业私营工业企业流动资产合计,石油和天然气开采业私营工业企业流动资产合计,私营工业企业流动资产合计,纺织业私营工业企业流动资产合计,自来水的生产和供应业私营工业企业流动资产合计,造纸及纸制品业私营工业企业流动资产合计,金属制品业私营工业企业流动资产合计,非金属矿物制造业私营工业企业流动资产合计,非金属矿采选业私营工业企业流动资产合计,食品制造业私营工业企业流动资产合计,食品加工业私营工业企业流动资产合计,饮料制造业私营工业企业流动资产合计,黑色金属冶炼及压延加工业私营工业企业流动资产合计,黑色金属矿采选业私营工业企业流动资产合计
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,71.89107,94.15015,15.36429,0.04469,33.65711,112.74288,5.19315,47.68719,17.85671,73.13342,23.5889,23.97622,119.59046,62.44279,8.96006,98.12774,37.19156,0.0,17.17278,0.3909,0.20912,10.24471,7.04056,59.54648,162.47676,46.50136,23.60936,0.15356,1910.75,154.65141,0.16484,49.45709,120.72643,141.01005,9.11713,42.8145,87.48909,46.27196,79.05587,7.05147
2001年,107.21929,170.83605,28.52876,0.12414,58.17862,201.13086,22.53842,72.29783,32.34115,113.10602,32.4673,39.16615,210.58512,99.5389,11.19751,145.30441,56.65364,0.01302,29.98385,0.18179,1.66356,16.49025,10.80501,104.09139,243.99235,75.27199,35.36412,0.08047,3130.0,289.93004,0.84903,90.33426,198.86451,229.57014,11.84863,67.00673,147.20101,60.51826,104.95017,10.50052
2002年,176.73666,253.04603,40.40534,0.18823,76.36518,297.82403,30.07813,102.14934,48.97562,183.01879,45.98972,54.80286,326.21469,132.21235,14.89307,210.04994,74.53797,0.0,42.06291,0.28315,1.9225,29.1033,12.41838,155.0217,362.97223,100.78517,72.15243,0.0,4686.53,471.87835,1.3889,127.70111,298.10427,327.05828,18.98146,98.20352,215.48182,74.65366,190.31413,18.55753
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
