,专用设备制造业私营工业企业主营业务税金及附加,交通运输设备制造业私营工业企业主营业务税金及附加,仪器仪表及文化办公用机械制造业私营工业企业主营业务税金及附加,其他矿采选业私营工业企业主营业务税金及附加,其它制造业私营工业企业主营业务税金及附加,化学原料及化学制品制造业私营工业企业主营业务税金及附加,化学纤维制造业私营工业企业主营业务税金及附加,医药制造业私营工业企业主营业务税金及附加,印刷业、记录媒介的复制私营工业企业主营业务税金及附加,塑料制品业私营工业企业主营业务税金及附加,家具制造业私营工业企业主营业务税金及附加,文教体育用品制造业私营工业企业主营业务税金及附加,普通机械制造业私营工业企业主营业务税金及附加,有色金属冶炼及压延加工业私营工业企业主营业务税金及附加,有色金属矿采选业私营工业企业主营业务税金及附加,服装及其他纤维制品制造业私营工业企业主营业务税金及附加,木材加工及竹、藤、棕、草制品业私营工业企业主营业务税金及附加,木材及竹材采运业私营工业企业主营业务税金及附加,橡胶制品业私营工业企业主营业务税金及附加,烟草加工业私营工业企业主营业务税金及附加,煤气生产和供应业私营工业企业主营业务税金及附加,煤炭采选业私营工业企业主营业务税金及附加,电力、蒸汽、热水的生产和供应业私营工业企业主营业务税金及附加,电子及通信设备制造业私营工业企业主营业务税金及附加,电气机械及器材制造业私营工业企业主营业务税金及附加,皮革、毛皮、羽绒及其制品业私营工业企业主营业务税金及附加,石油加工及炼焦业私营工业企业主营业务税金及附加,石油和天然气开采业私营工业企业主营业务税金及附加,私营工业企业主营业务税金及附加,纺织业私营工业企业主营业务税金及附加,自来水的生产和供应业私营工业企业主营业务税金及附加,造纸及纸制品业私营工业企业主营业务税金及附加,金属制品业私营工业企业主营业务税金及附加,非金属矿物制造业私营工业企业主营业务税金及附加,非金属矿采选业私营工业企业主营业务税金及附加,食品制造业私营工业企业主营业务税金及附加,食品加工业私营工业企业主营业务税金及附加,饮料制造业私营工业企业主营业务税金及附加,黑色金属冶炼及压延加工业私营工业企业主营业务税金及附加,黑色金属矿采选业私营工业企业主营业务税金及附加
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,1.1853,2.81566,0.19512,0.00104,1.30413,2.18387,0.15265,0.65163,0.29166,1.69914,0.842,0.31798,2.61977,0.9438,0.43699,2.10602,0.87122,0.0,0.4643,0.0044,0.00418,0.30958,0.35914,0.88034,2.08138,1.03888,0.64535,0.02921,44.91,3.52548,0.00587,1.12216,2.67822,4.15739,0.44033,0.91512,2.00523,3.81985,1.50119,0.30543
2001年,1.74465,4.54685,0.3991,0.00278,2.27017,3.55922,0.4775,1.03044,0.48337,2.39357,0.93716,0.72182,3.51553,1.34723,0.50541,2.87141,1.48087,0.00083,0.55829,0.00065,0.019,0.54927,0.3783,1.09538,3.2902,1.81903,0.89315,0.00039,68.46,6.032,0.02335,1.90193,4.5092,5.96796,0.4868,1.21776,2.78479,5.85068,2.24657,0.54791
2002年,2.31455,7.17475,0.59107,0.00208,3.03441,5.52909,0.60925,1.3679,0.72291,3.72208,1.35417,0.78132,5.04238,1.61023,0.4109,4.12018,2.36491,0.0,0.86851,0.00061,0.02061,1.03581,0.23549,1.60291,4.17573,2.18268,1.19396,0.0,95.67,8.98557,0.01156,2.54489,5.8331,8.69335,0.77432,1.87071,4.16331,6.90625,3.04332,0.77042
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
