,专用设备制造业私营工业企业本年应交增值税,交通运输设备制造业私营工业企业本年应交增值税,仪器仪表及文化办公用机械制造业私营工业企业本年应交增值税,其他矿采选业私营工业企业本年应交增值税,其它制造业私营工业企业本年应交增值税,化学原料及化学制品制造业私营工业企业本年应交增值税,化学纤维制造业私营工业企业本年应交增值税,医药制造业私营工业企业本年应交增值税,印刷业、记录媒介的复制私营工业企业本年应交增值税,塑料制品业私营工业企业本年应交增值税,家具制造业私营工业企业本年应交增值税,文教体育用品制造业私营工业企业本年应交增值税,普通机械制造业私营工业企业本年应交增值税,有色金属冶炼及压延加工业私营工业企业本年应交增值税,有色金属矿采选业私营工业企业本年应交增值税,服装及其他纤维制品制造业私营工业企业本年应交增值税,木材加工及竹、藤、棕、草制品业私营工业企业本年应交增值税,木材及竹材采运业私营工业企业本年应交增值税,橡胶制品业私营工业企业本年应交增值税,烟草加工业私营工业企业本年应交增值税,煤气生产和供应业私营工业企业本年应交增值税,煤炭采选业私营工业企业本年应交增值税,电力、蒸汽、热水的生产和供应业私营工业企业本年应交增值税,电子及通信设备制造业私营工业企业本年应交增值税,电气机械及器材制造业私营工业企业本年应交增值税,皮革、毛皮、羽绒及其制品业私营工业企业本年应交增值税,石油加工及炼焦业私营工业企业本年应交增值税,石油和天然气开采业私营工业企业本年应交增值税,私营工业企业本年应交增值税,纺织业私营工业企业本年应交增值税,自来水的生产和供应业私营工业企业本年应交增值税,造纸及纸制品业私营工业企业本年应交增值税,金属制品业私营工业企业本年应交增值税,非金属矿物制造业私营工业企业本年应交增值税,非金属矿采选业私营工业企业本年应交增值税,食品制造业私营工业企业本年应交增值税,食品加工业私营工业企业本年应交增值税,饮料制造业私营工业企业本年应交增值税,黑色金属冶炼及压延加工业私营工业企业本年应交增值税,黑色金属矿采选业私营工业企业本年应交增值税
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,5.34822,5.92816,1.0578,0.01261,3.7458,8.05447,0.43552,4.41088,1.27784,5.56603,1.59754,1.85384,8.6743,4.07423,0.84814,7.88426,3.43429,0.0,1.38112,0.01225,0.0154,1.03798,1.08467,4.09356,10.3293,2.97667,1.521,0.07,143.6,11.55682,0.013,3.75748,8.43832,14.24141,0.94479,3.56922,5.03463,3.52715,5.40305,0.38856
2001年,8.12468,10.41364,2.32318,0.01586,6.47157,14.97855,1.42597,5.73599,2.60649,9.59884,2.97195,3.44758,16.16151,6.28384,1.25053,12.01588,5.55272,0.00502,2.47023,0.00407,0.07852,1.70089,1.52607,6.55683,15.60934,6.42564,2.50189,0.00483,242.55,23.23407,0.08758,7.01733,14.18646,21.73499,1.30685,5.39738,9.47865,4.35569,8.55706,0.92922
2002年,12.10266,17.05097,3.12602,0.01567,8.17656,22.27658,2.78939,8.78343,3.69974,14.67435,4.01014,4.80333,24.72242,9.83386,1.63767,18.50394,7.43682,0.0,3.57251,0.00569,0.10976,4.05392,1.19465,9.69184,22.76122,9.44618,5.16564,0.0,368.39,36.77864,0.09426,10.6296,22.86677,34.04444,2.15195,7.2792,12.27839,5.57159,15.41005,1.64371
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
