,专用设备制造业私营工业企业流动负债合计,交通运输设备制造业私营工业企业流动负债合计,仪器仪表及文化办公用机械制造业私营工业企业流动负债合计,其他矿采选业私营工业企业流动负债合计,其它制造业私营工业企业流动负债合计,化学原料及化学制品制造业私营工业企业流动负债合计,化学纤维制造业私营工业企业流动负债合计,医药制造业私营工业企业流动负债合计,印刷业、记录媒介的复制私营工业企业流动负债合计,塑料制品业私营工业企业流动负债合计,家具制造业私营工业企业流动负债合计,文教体育用品制造业私营工业企业流动负债合计,普通机械制造业私营工业企业流动负债合计,有色金属冶炼及压延加工业私营工业企业流动负债合计,有色金属矿采选业私营工业企业流动负债合计,服装及其他纤维制品制造业私营工业企业流动负债合计,木材加工及竹、藤、棕、草制品业私营工业企业流动负债合计,木材及竹材采运业私营工业企业流动负债合计,橡胶制品业私营工业企业流动负债合计,烟草加工业私营工业企业流动负债合计,煤气生产和供应业私营工业企业流动负债合计,煤炭采选业私营工业企业流动负债合计,电力、蒸汽、热水的生产和供应业私营工业企业流动负债合计,电子及通信设备制造业私营工业企业流动负债合计,电气机械及器材制造业私营工业企业流动负债合计,皮革、毛皮、羽绒及其制品业私营工业企业流动负债合计,石油加工及炼焦业私营工业企业流动负债合计,石油和天然气开采业私营工业企业流动负债合计,私营工业企业流动负债合计,纺织业私营工业企业流动负债合计,自来水的生产和供应业私营工业企业流动负债合计,造纸及纸制品业私营工业企业流动负债合计,金属制品业私营工业企业流动负债合计,非金属矿物制造业私营工业企业流动负债合计,非金属矿采选业私营工业企业流动负债合计,食品制造业私营工业企业流动负债合计,食品加工业私营工业企业流动负债合计,饮料制造业私营工业企业流动负债合计,黑色金属冶炼及压延加工业私营工业企业流动负债合计,黑色金属矿采选业私营工业企业流动负债合计
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,64.59777,86.58387,12.75551,0.05072,28.12763,108.32929,6.3395,40.61135,17.25092,70.45846,17.88564,21.85751,113.29214,69.51888,8.18154,92.4372,37.77647,0.0,16.5415,0.3215,0.26038,9.65028,10.04272,47.94663,140.6106,38.68822,24.38969,0.12116,1891.81754,173.63199,0.2692,54.70034,109.27191,188.67117,8.24256,47.35503,90.49242,52.24666,73.42936,8.87982
2001年,98.6541,162.15911,21.83042,0.18183,51.15464,194.38545,26.07041,63.43018,32.98594,106.05703,24.8445,34.52158,198.10404,103.26729,9.01845,128.09847,52.58084,0.01057,27.87752,0.18087,2.38995,14.77843,12.14451,76.04466,200.49798,65.83923,42.19823,0.03725,3037.26994,327.96745,2.39453,99.14394,180.54846,266.09287,10.42089,68.56811,146.89701,67.01472,105.44386,13.42962
2002年,154.91149,235.73148,30.08661,0.11818,66.65285,284.12213,35.11265,95.93684,46.5761,171.06455,39.64681,49.20076,298.70001,139.09717,13.91336,186.01539,72.42378,0.0,39.12681,0.24032,2.87102,26.99935,21.84605,116.6883,304.06315,89.14246,74.65242,0.0,4493.42577,523.86251,1.98157,135.78053,272.18264,375.07483,18.66829,94.71183,203.74786,75.76765,176.15336,20.55466
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
