,专用设备制造业私营工业企业实收资本,交通运输设备制造业私营工业企业实收资本,仪器仪表及文化办公用机械制造业私营工业企业实收资本,其他矿采选业私营工业企业实收资本,其它制造业私营工业企业实收资本,化学原料及化学制品制造业私营工业企业实收资本,化学纤维制造业私营工业企业实收资本,医药制造业私营工业企业实收资本,印刷业、记录媒介的复制私营工业企业实收资本,塑料制品业私营工业企业实收资本,家具制造业私营工业企业实收资本,文教体育用品制造业私营工业企业实收资本,普通机械制造业私营工业企业实收资本,有色金属冶炼及压延加工业私营工业企业实收资本,有色金属矿采选业私营工业企业实收资本,服装及其他纤维制品制造业私营工业企业实收资本,木材加工及竹、藤、棕、草制品业私营工业企业实收资本,木材及竹材采运业私营工业企业实收资本,橡胶制品业私营工业企业实收资本,烟草加工业私营工业企业实收资本,煤气生产和供应业私营工业企业实收资本,煤炭采选业私营工业企业实收资本,电力、蒸汽、热水的生产和供应业私营工业企业实收资本,电子及通信设备制造业私营工业企业实收资本,电气机械及器材制造业私营工业企业实收资本,皮革、毛皮、羽绒及其制品业私营工业企业实收资本,石油加工及炼焦业私营工业企业实收资本,石油和天然气开采业私营工业企业实收资本,私营工业企业实收资本,纺织业私营工业企业实收资本,自来水的生产和供应业私营工业企业实收资本,造纸及纸制品业私营工业企业实收资本,金属制品业私营工业企业实收资本,非金属矿物制造业私营工业企业实收资本,非金属矿采选业私营工业企业实收资本,食品制造业私营工业企业实收资本,食品加工业私营工业企业实收资本,饮料制造业私营工业企业实收资本,黑色金属冶炼及压延加工业私营工业企业实收资本,黑色金属矿采选业私营工业企业实收资本
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,31.67299,45.18702,6.35045,0.01342,16.15156,54.84397,2.4835,32.10205,7.48702,42.0782,20.65325,9.38478,49.74078,29.64068,6.23977,53.77018,20.9299,,9.42439,0.1273,0.17711,6.79903,11.31642,23.26413,62.55757,20.91974,11.20751,0.5,992.26992,79.8451,0.21925,25.99898,60.25906,103.40898,5.2347,22.26969,54.76993,25.01509,36.14008,4.08634
