,新型农村社会养老保险试点参保人数,新型农村社会养老保险试点基金支出,新型农村社会养老保险试点基金收入,新型农村社会养老保险试点基金累计结余,新型农村社会养老保险试点达到领取待遇年龄参保人数
1978年,,,,,
1979年,,,,,
1980年,,,,,
1981年,,,,,
1982年,,,,,
1983年,,,,,
1984年,,,,,
1985年,,,,,
1986年,,,,,
1987年,,,,,
1988年,,,,,
1989年,,,,,
1990年,,,,,
1991年,,,,,
1992年,,,,,
1993年,,,,,
1994年,,,,,
1995年,,,,,
1996年,,,,,
1997年,,,,,
1998年,,,,,
1999年,,,,,
2000年,,,,,
2001年,,,,,
2002年,,,,,
2003年,,,,,
2004年,,,,,
2005年,,,,,
2006年,,,,,
2007年,,,,,
2008年,,,,,
2009年,,,,,
2010年,10276.8038,200.397029881,453.371082162,422.504431472,2862.551
2011年,32643.451,587.690192351,1069.68466751,1199.1822681,8921.7823
2012年,,,,,
2013年,,,,,
2014年,,,,,
