,城镇在岗职工基本医疗保险年末参保人数,城镇基本医疗保险基金支出,城镇基本医疗保险基金收入,城镇基本医疗保险基金累计结余,城镇基本医疗保险年末参保人数,城镇居民医疗保险基金支出,城镇居民医疗保险基金收入,城镇居民医疗保险基金累计结余,城镇居民基本医疗保险年末参保人数,城镇职工医疗保险基金支出,城镇职工医疗保险基金收入,城镇职工医疗保险基金累计结余,城镇职工基本医疗保险年末参保人数,城镇退休人员基本医疗保险年末参保人数
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,1.3,1.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,374.5924,2.9,3.2,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.33,25.7408
1995年,702.6144,7.2835,9.6667,3.0982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,745.87,43.256
1996年,791.1835,16.2336,19.0084,6.4403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,855.65,64.4715
1997年,1588.9073,40.5,52.3,16.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1761.96,173.0503
1998年,1508.656,53.297,60.5924,19.9971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1877.64,368.9817
1999年,1509.4099,69.0735,89.866,57.5543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2065.31,555.8993
2000年,2862.7811,124.5411,169.9984,109.8311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3786.9495,924.1684
2001年,5470.7406,244.0989,383.6022,253.0088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7285.91,1815.1737
2002年,6925.8,409.3566,607.783,450.7138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9401.2,2475.4
2003年,7974.9,653.9,890.0,670.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10901.7,2926.8
2004年,9044.4,862.2,1140.5,957.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12403.7,3359.2
2005年,10021.7,1078.7,1405.3,1278.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13782.8846,3761.2
2006年,11580.3,1276.7422,1747.1038,1752.3837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15731.86,4151.5
2007年,13420.0,1561.8,2257.2,2476.9,0.0,0.0,0.0,0.0,0.0,1551.6658,2214.2428,2440.7715,18020.2685,4600.0
2008年,14987.7384,2083.6,3040.4,3431.7,0.0,0.0,0.0,0.0,0.0,2019.7,2885.5,3303.6,19995.627,5007.8886
2009年,16410.519,2797.4072,3671.895,4275.9468,40146.9918,0.0,0.0,0.0,18209.5741,2630.1087,3420.3064,4055.2336,21937.4177,5526.8987
2010年,17791.1617,3538.1018,4308.9289,5047.1175,0.0,0.0,0.0,0.0,0.0,3271.6,3955.4,4741.2,23734.7,5943.513
2011年,18948.4781,4431.3731,5539.1772,6179.986,47343.2279,413.1029,594.1776,496.8264,22116.1314,4018.2702,4944.9996,5683.1596,25227.0965,6278.6184
2012年,19861.3225,5543.62407915,6938.67927305,7644.5123956,53641.2673,675.133357001,876.76020545,760.262984184,27155.7024,4868.49072215,6061.9190676,6884.24941142,26485.5649,6624.2424
2013年,20501.2931,6801.0329,8248.2618,9116.4521,57072.5729,971.1124,1186.6365,987.1095,29629.4316,5829.9205,7061.6253,8129.3426,27443.1413,6941.8482
2014年,21041.2602,8133.5894,9687.2393,10644.7686,59746.9241,1436.99,1649.3214,1194.9797,31450.891,6696.5994,8037.9179,9449.7889,28296.0331,7254.7729
