,享受生育保险待遇人数,年末参加生育保险人数,生育保险基金支出,生育保险基金收入,生育保险累计结余
1978年,,,,,
1979年,,,,,
1980年,,,,,
1981年,,,,,
1982年,,,,,
1983年,,,,,
1984年,,,,,
1985年,,,,,
1986年,,,,,
1987年,,,,,
1988年,,,,,
1989年,,,0.0,0.0,0.0
1990年,,,0.0,0.0,0.0
1991年,,,0.0,0.0,0.0
1992年,,,0.0,0.0,0.0
1993年,,,0.5,0.8,0.8
1994年,,915.9,0.8,1.5,1.4
1995年,,1500.209,1.5782,2.9375,2.7383
1996年,,2015.6,3.2865,5.5173,4.9726
1997年,,2485.9,4.9089,7.4436,7.52
1998年,,2776.7,6.8462,9.7601,10.3086
1999年,,2929.8,7.1274,10.7488,13.9075
2000年,,3001.6395,8.3452,11.1554,16.7704
2001年,,3455.0557,9.5873,13.7285,20.5757
2002年,,3488.2,12.7784,21.8135,29.7316
2003年,,3655.4,13.5,25.8,42.0
2004年,,4383.8,18.8,32.1,55.9
2005年,,5408.5,27.4,43.8,72.1
2006年,107.889,6458.9,37.4866,62.1289,96.8876
2007年,113.0367,7775.3,55.6,83.6,126.6
2008年,140.0527,9254.1091,71.5,113.7,168.2
2009年,173.996,10875.6731,88.256,132.4061,212.0942
2010年,210.7,12335.9483,109.8618,159.5802,261.4069
2011年,264.743,13891.9887,139.1711,219.8285,342.5305
2012年,352.7073,15428.6522,219.3173,304.2107,427.5983
2013年,521.9669,16391.9924,282.7635,368.3766,514.741
2014年,613.3634,17038.6583,368.0523,446.0512,592.7208
