,在职职工参加养老保险人数,城镇参加养老保险人数,基本养老保险基金支出,基本养老保险基金收入,基本养老保险累计结余,离退人员参加养老保险人数
1978年,,,,,,
1979年,,,,,,
1980年,,,,,,
1981年,,,,,,
1982年,,,,,,
1983年,,,,,,
1984年,,,,,,
1985年,,,,,,
1986年,,,,,,
1987年,,,,,,
1988年,,,,,,
1989年,4816.9,5710.3,118.8,146.7,68.0,893.4
1990年,5200.7013,6166.0013,149.3363,178.8178,97.876,965.3
1991年,5653.7,6740.2757,173.1,215.7,144.1,1086.5757
1992年,7774.7,9456.2,321.9,365.8,220.6,1681.5
1993年,8008.2,9847.6,470.6,503.5,258.6,1839.4
1994年,8494.14,10573.54,661.1,707.4,304.8,2079.4
1995年,8737.7929,10978.9929,847.6087,950.0507,429.8338,2241.2
1996年,8758.4,11116.7,1031.8689,1171.7639,578.5604,2358.3
1997年,8670.9,11203.9,1251.328,1337.9051,682.8482,2533.0
1998年,8475.8,11203.1,1511.6267,1458.9737,587.8332,2727.3
1999年,9501.8,12485.4,1924.8543,1965.1151,733.5416,2983.6
2000年,10447.4965,13617.3965,2115.4833,2278.5,947.1165,3169.9
2001年,10801.885,14182.5203,2321.2601,2488.9606,1054.0818,3380.6353
2002年,11128.8,14736.6,2842.9072,3171.4607,1608.0319,3607.8
2003年,11646.5,15506.7,3122.1,3680.0,2206.5,3860.2
2004年,12250.3,16352.9,3502.1,4258.4,2975.0,4102.6
2005年,13120.4,17487.9,4040.3,5093.3,4041.0,4367.5
2006年,14130.9,18766.3,4896.65551,6309.8,5488.88162,4635.4
2007年,15183.2,20136.9,5964.9,7834.2,7391.4,4953.7
2008年,16587.5367,21891.0987,7389.6,9740.2,9931.0,5303.562
2009年,17743.0348,23549.8912,8894.4287,11490.8428,12526.0925,5806.8564
2010年,19402.3383,25707.2989,10554.9204,13419.5263,15365.2805,6304.9606
2011年,21565.0499,28391.2689,12764.9486,16894.728,19496.5955,6826.219
2012年,22981.1156,30426.7982,15561.7924,20000.9922,23941.3111,7445.6825
2013年,24177.326,32218.3756,18470.4313,22680.3664,28269.1795,8041.0495
2014年,25530.9879,34124.3791,21754.6532,25309.6743,31799.964,8593.3912
