,全国已建工会组织的基层单位的会员人数,全国已建工会组织的基层单位的女会员人数,全国已建工会组织的基层单位的女职工数,全国已建工会组织的基层单位的职工数,工会专职工作人员人数,工会基层组织数
1978年,,,,,,
1979年,5147.3,,2171.7,6897.2,17.9,32.9
1980年,6116.5,,2518.6,7448.2,24.3,37.6
1981年,6843.9,2412.8,2902.0,8183.0,29.1,41.1
1982年,7331.6,2629.3,3065.9,8586.6,32.2,43.3
1983年,7693.4,2771.4,3191.8,8845.7,33.7,44.7
1984年,8029.1,2950.3,3370.3,9243.9,41.9,46.6
1985年,8525.8,3149.2,3596.7,9643.0,38.1,46.5
1986年,8908.5,3309.2,3664.3,9949.6,45.9,50.2
1987年,9336.5,3486.9,3900.4,10411.8,47.0,53.6
1988年,9628.9,3647.0,4434.9,10747.4,47.4,56.4
1989年,9909.2,3777.7,4178.7,10998.6,48.8,58.9
1990年,10135.6,3897.7,4291.0,11156.9,55.6,60.6
1991年,10389.1,3991.6,4394.8,11351.4,58.0,61.4
1992年,10322.5,3974.0,4377.1,11223.9,58.0,61.7
1993年,10176.1,3949.6,4359.9,11103.8,55.4,62.7
1994年,10202.5,4018.1,4483.2,11269.6,56.0,58.3
1995年,10399.6,4116.5,4515.3,11321.4,46.8,59.3
1996年,10211.9,4093.1,4500.0,11181.4,60.5,58.6
1997年,9131.0,3579.4,4004.8,10111.5,57.7,51.0
1998年,8913.4,3546.7,3882.0,9716.5,48.4,50.4
1999年,8689.9,3406.2,3797.9,9683.0,49.7,50.9
2000年,10361.5,3917.3,4534.5,11472.1,48.2,85.9
2001年,12152.3,4696.6,5087.9,12997.0,,153.8
2002年,13397.8,4665.2,5157.6,14461.5,47.2,171.3
2003年,12340.5,4601.2,5079.3,13301.6,46.5,90.6
2004年,13694.9,5135.3,5502.6,14436.7,45.6,102.0
2005年,15029.4,5574.8,6016.3,15985.3,47.7,117.4
2006年,16994.2,6177.8,6719.3,18143.6,54.3,132.4
2007年,19328.9841,7042.1748,7494.4761,20452.4207,60.2,150.8376
2008年,21217.1,7773.8,8168.8,22487.5,70.5,172.5
2009年,22634.4371,8248.3722,8652.6363,24535.2536,74.6,184.5
2010年,23996.5,8871.5,9288.1,25345.4,86.4,197.6
2011年,25885.1,9763.6,10211.2,27304.7,99.8,232.0
2012年,28021.3348,10611.0223,11014.516,29371.4656,107.9339,266.3437
2013年,28786.9,10886.0,11227.6,29946.2,115.6,276.7
2014年,28811.8,10977.7,11299.4,29930.9,115.5,278.1023
