,年初在押服刑人数,年初女性在押服刑人数,年初未成年在押服刑人数,年末在押服刑人数,释放人数
1978年,0,0,0,0,0
1979年,0,0,0,0,0
1980年,0,0,0,0,0
1981年,0,0,0,0,0
1982年,0,0,0,0,0
1983年,0,0,0,0,0
1984年,0,0,0,0,0
1985年,0,0,0,0,0
1986年,0,0,0,0,0
1987年,0,0,0,0,0
1988年,0,0,0,0,0
1989年,0,0,0,0,0
1990年,0,0,0,0,0
1991年,0,0,0,0,0
1992年,0,0,0,0,0
1993年,0,0,0,0,0
1994年,0,0,0,0,0
1995年,0,0,0,0,0
1996年,0,0,0,0,0
1997年,0,0,0,0,0
1998年,0,0,0,0,0
1999年,0,0,0,0,0
2000年,0,0,0,0,0
2001年,0,0,0,0,0
2002年,0,0,0,0,0
2003年,1546130,71286,19990,1562742,342401
2004年,1562742,75870,21975,1558511,332172
2005年,1558511,77279,23957,1565711,319346
2006年,1565711,77771,23250,1566839,340694
2007年,1566839,78334,21807,1589222,363875
2008年,1589222,80951,20772,1623394,378493
2009年,1623394,85167,20662,1646593,387172
2010年,1646593,90322,18450,1656773,391380
2011年,1656773,93051,16701,1641931,403106
2012年,1641931,95770,15429,1657963,395017
2013年,0,0,0,0,0
2014年,0,0,0,0,0
