,享受一至四级伤残待遇人数,享受一至四级职业病待遇人数,享受七至十级伤残待遇人数,享受七至十级职业病待遇人数,享受五至六级伤残待遇人数,享受五至六级职业病待遇人数,享受其他伤残待遇人数,享受其他职业病待遇人数,享受工伤待遇的人数,享受职业病待遇人数,工伤保险基金支出,工伤保险基金收入,工伤保险年末参保人数,工伤保险累计结余
1978年,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,
1989年,,,,,,,,,,,0.0,0.0,,0.0
1990年,,,,,,,,,,,0.0,0.0,,0.0
1991年,,,,,,,,,,,0.0,0.0,,0.0
1992年,,,,,,,,,,,0.0,0.0,,0.0
1993年,,,,,,,,,,,0.4,2.4,,3.1
1994年,,,,,,,,,5.8,,0.9,4.6,1822.1,6.8
1995年,,,,,,,,,7.0522,,1.8128,8.0861,2614.764,12.6792
1996年,,,,,,,,,10.1,,3.6997,10.8917,3102.6,19.7492
1997年,,,,,,,,,12.5,,6.0865,13.5677,3507.8,27.6677
1998年,,,,,,,,,15.3,,9.0435,21.1518,3781.3,39.5344
1999年,,,,,,,,,15.1,,15.4164,20.8781,3912.3,44.9216
2000年,,,,,,,,,18.8,,13.7973,24.7778,4350.2744,57.8542
2001年,,,,,,,,,18.7086,,16.4929,28.2839,4345.3489,68.8926
2002年,,,,,,,,,26.5,,19.8919,32.0315,4405.6,81.0812
2003年,,,,,,,,,32.9,,27.1,37.6,4574.8,91.2
2004年,,,,,,,,,51.8808,,33.3,58.3,6845.1673,118.6
2005年,,,,,,,,,65.1,,47.5,92.5,8478.0,163.5
2006年,,,,,,,,,77.8,,68.4909,121.8228,10268.5,192.8951
2007年,7.9625,3.0674,22.5362,0.7235,4.2637,0.8448,40.8999,0.9639,95.99,5.5996,87.9,165.6,12173.3,262.6
2008年,12.4143,3.0155,27.695,0.9357,5.9055,0.8353,55.1292,1.5083,117.7684,6.2948,126.9,216.7,13787.2324,384.605
2009年,12.2102,3.9027,29.2587,1.0849,6.3745,1.0398,62.9948,1.1457,129.5744,7.1731,155.6763,240.1166,14895.5111,468.7791
2010年,14.3208,4.0882,32.6896,1.2308,6.7087,1.1115,74.1456,1.6807,147.4509,8.1112,192.4028,284.9453,16160.7122,561.4429
2011年,15.4502,4.6221,38.1406,1.7101,7.3715,1.4162,79.4472,1.4683,163.0105,9.2167,286.3816,466.4359,17695.9436,742.5609
2012年,18.6018,4.5701,49.5355,1.9376,9.2122,1.5021,86.0295,2.6134,190.5114,10.6232,406.2852,526.7163,19010.0989,861.9363
2013年,,,,,,,,,195.1522,,482.1049,614.7748,19917.2415,996.2162
2014年,,,,,,,,,198.1508,,560.486,694.77,20639.1566,1128.7969
