,享受工伤待遇的人数,参加失业保险人数,参加生育保险人数,发放失业保险金人数,发放失业保险金额,基本医疗保险在职职工人数,基本医疗保险离退人员数,工伤保险年末年末参保人数
1978年,,,,,,,,
1979年,,,,,,,,
1980年,,,,,,,,
1981年,,,,,,,,
1982年,,,,,,,,
1983年,,,,,,,,
1984年,,,,,,,,
1985年,,,,,,,,
1986年,,,,,,,,
1987年,,,,,,,,
1988年,,,,,,,,
1989年,,,,,,,,
1990年,,,,,,,,
1991年,,,,,,,,
1992年,,,,,,,,
1993年,,,,,,,,
1994年,5.8,7967.8,915.9,196.4633,5.0755,374.5924,25.7408,1822.1
1995年,7.0522,8237.7,1500.209,261.313,8.1964,702.6144,43.256,2614.764
1996年,10.1,8333.0573,2015.6,330.7884,13.8704,791.1835,64.4715,3102.6
1997年,12.5,7961.3722,2485.9,319.0445,18.678,1588.9073,173.0503,3507.8
1998年,15.3,7927.9,2776.7,158.1,20.3907,1508.656,368.9817,3781.3
1999年,15.1,9851.997,2929.8,271.4046,31.8722,1509.4099,555.8993,3912.3
2000年,18.8,10408.4,3001.6395,329.7489,56.1984,2862.7811,924.1684,4350.2744
2001年,18.7086,10354.6,3455.0557,468.547,83.2563,5470.7406,1815.1737,4345.3489
2002年,26.5,10181.6,3488.2,657.0,116.7736,6925.8,2475.4,4405.6
2003年,32.9,10372.9,3655.4,741.6,133.4448,7974.9,2926.8,4574.8
2004年,51.8808,10583.9,4383.8,753.5,137.4983,9044.4,3359.2,6845.1673
2005年,65.1,10647.6656,5408.5,677.8,132.3767,10021.7,3761.2,8478.0
2006年,77.8,11186.6,6458.9,598.1,125.7582,11580.3,4151.5,10268.5
2007年,95.99,11644.6,7775.3,538.5,129.4405,13420.0,4600.0,12173.3
2008年,117.7684,12399.8484,9254.1091,516.7,139.534912698,14987.7384,5007.8886,13787.2324
2009年,129.5744,12715.4688,10875.6731,483.8905,145.7592,16410.519,5526.8987,14895.5111
2010年,147.4509,13375.595,12335.9483,431.6,140.4485,17791.1617,5943.513,16160.7122
2011年,163.0105,14317.0725,13891.9887,394.3992,159.854414371,18948.4781,6278.6184,17695.9436
2012年,190.5114,15224.714,15428.6522,390.0537,181.29338584,19861.3225,6624.2424,19010.0989
2013年,195.1522,16416.833,16391.9924,416.7445,203.23885051,20501.2931,6941.8482,19917.2415
2014年,198.1508,17042.574,17038.6583,422.0321,233.279389303,21041.2602,7254.7729,20639.1566
