,农村居民家庭新建房屋价值,农村居民家庭新建房屋砖木结构,农村居民家庭新建房屋钢筋混凝土结构,农村居民家庭新建房屋面积
1978年,,,,
1979年,,,,
1980年,,,,
1981年,22.08,0.46,0.02,0.84
1982年,25.39,0.52,0.02,0.86
1983年,29.67,0.62,0.06,1.0
1984年,35.31,0.53,0.06,0.82
1985年,40.7,0.7,0.09,1.08
1986年,47.07,0.74,0.11,1.08
1987年,58.39,0.71,0.16,1.05
1988年,71.0,0.61,0.19,0.97
1989年,84.27,0.55,0.21,0.91
1990年,92.32,0.47,0.23,0.82
1991年,101.02,0.53,0.26,0.91
1992年,111.2,0.4,0.23,0.74
1993年,126.59,0.34,0.2,0.66
1994年,152.38,0.36,0.24,0.73
1995年,200.3,0.37,0.33,0.78
1996年,253.24,0.4,0.46,0.96
1997年,221.95,0.36,0.5,0.94
1998年,227.4,0.31,0.45,0.83
1999年,226.92,0.29,0.48,0.83
2000年,260.23,0.36,0.47,0.87
2001年,263.45,0.34,0.45,0.84
2002年,295.61,0.3,0.51,0.86
2003年,303.77,0.28,0.47,0.79
2004年,339.27,0.21,0.36,0.6
2005年,373.31,0.29,0.51,0.83
2006年,392.93,0.27,0.54,0.84
2007年,485.114938212,0.291254130818,0.641068189428,0.974407527915
2008年,533.66,0.28,0.66,0.99
2009年,620.39,0.32,0.85,1.21
2010年,673.35,0.21,0.56,0.8
2011年,804.510870474,0.339905630836,0.919863873762,1.3013040439
2012年,829.506315493,0.242726695562,0.699690987281,0.961779392253
2013年,,,,
2014年,,,,
