,交通运输、仓储和邮政业外商投资企业外方注册资本,住宿和餐饮业外商投资企业外方注册资本,信息传输、计算机服务和软件业外商投资企业外方注册资本,其他外商投资企业外方注册资本,农、林、牧、渔业外商投资企业外方注册资本,制造业外商投资企业外方注册资本,卫生、社会保障和社会福利业外商投资企业外方注册资本,外商投资企业外方注册资本,居民服务和其他服务业外商投资企业外方注册资本,建筑业外商投资企业外方注册资本,房地产业外商投资企业外方注册资本,批发和零售业外商投资企业外方注册资本,教育外商投资企业外方注册资本,文化、体育和娱乐业外商投资企业外方注册资本,水利、环境和公共设施管理业外商投资企业外方注册资本,电力、燃气及水的生产和供应业外商投资企业外方注册资本,科学研究、技术服务和地质勘查业外商投资企业外方注册资本,租赁和商务服务业外商投资企业外方注册资本,采矿业外商投资企业外方注册资本,金融业外商投资企业外方注册资本
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,740600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,921100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,24938.4282,16967.4292,45871.6615,3703.5765,13620.2845,575484.2427,898.403,1038850.5708,4078.5036,16561.0584,146958.8489,36263.5877,390.9645,6484.8641,5916.6985,26151.8166,29580.0138,62739.2368,4705.4574,17535.4949
2009年,27193.0177,18886.9561,58979.7144,3574.2225,15257.1404,601269.7086,961.6651,1136900.0,4008.8203,18047.047,157555.0537,42610.546,474.9554,6156.3336,6882.6605,31294.5883,37182.2479,78627.606,5647.5579,22335.4807
2010年,29000.0,16700.0,61900.0,3900.0,17900.0,642400.0,900.0,1259000.0,4600.0,21300.0,185300.0,52500.0,400.0,6500.0,7700.0,33300.0,48000.0,92900.0,6300.0,27500.0
2011年,33773.0602,16734.3655,54051.9557,3986.2299,20198.2967,689543.507,1042.3613,1381028.4977,4950.1144,24345.6887,210476.0724,64981.7389,444.7644,8361.5193,8807.3589,36841.2824,53831.3429,108210.9753,7034.5752,33413.2884
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1490349.7496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,41225.856,17086.663,51887.1351,3500.9399,24450.5352,740148.345,1463.7555,1607711.9312,5839.4867,27209.9712,267812.4361,97297.0197,544.6987,8986.0546,9078.9943,40167.4672,65757.2932,142050.9671,7236.8425,55967.4702
2014年,44030.7808,17247.3641,39099.9029,505.687,27027.0346,774005.6274,1810.1969,1741388.6408,6379.1308,28615.4838,298062.8538,115940.0809,514.1095,9796.5395,10249.7855,42665.4817,77283.2443,172684.3033,7592.0404,67878.9936
