,一般旅馆固定资产合计,中外合作经营住宿业企业固定资产合计,中外合资经营住宿业企业固定资产合计,住宿业企业固定资产合计,其他住宿业企业固定资产合计,其他住宿服务固定资产合计,其他外商投资住宿业企业固定资产合计,其他有限责任公司住宿业企业固定资产合计,其他港澳台商投资住宿业企业固定资产合计,其他联营住宿业企业固定资产合计,内资住宿业企业固定资产合计,国有与集体联营住宿业企业固定资产合计,国有住宿业企业固定资产合计,国有独资公司住宿业企业固定资产合计,国有联营住宿业企业固定资产合计,外商投资住宿业企业固定资产合计,外商投资股份有限公司住宿业企业固定资产合计,外资住宿业企业固定资产合计,旅游饭店固定资产合计,有限责任公司住宿业企业固定资产合计,港、澳、台商合作经营住宿业企业固定资产合计,港、澳、台商合资经营住宿业企业固定资产合计,港、澳、台商投资住宿业企业固定资产合计,港、澳、台商投资股份有限公司住宿业企业固定资产合计,港、澳、台商独资经营住宿业企业固定资产合计,私营住宿业企业固定资产合计,私营合伙住宿业企业固定资产合计,私营有限责任公司住宿业企业固定资产合计,私营独资住宿业企业固定资产合计,私营股份有限公司住宿业企业固定资产合计,联营住宿业企业固定资产合计,股份合作住宿业企业固定资产合计,股份有限公司住宿业企业固定资产合计,集体住宿业企业固定资产合计,集体联营住宿业企业固定资产合计
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,120.81152,105.54846,301.30007,2375.34842,10.19619,18.43544,0.0,518.58359,0.0,1.86555,2330.66926,15.13338,1042.86794,59.76671,26.71965,482.05905,2.65606,72.55446,3264.05176,578.3503,129.56403,417.0263,590.57041,3.29356,40.68652,327.31702,8.58384,235.62109,58.31621,24.79588,46.87999,41.58934,149.61096,133.85752,3.16141
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
