,一般旅馆资产总计,中外合作经营住宿业企业资产总计,中外合资经营住宿业企业资产总计,住宿业企业资产总计,其他住宿业企业资产总计,其他住宿服务资产总计,其他外商投资住宿业企业资产总计,其他有限责任公司住宿业企业资产总计,其他港澳台商投资住宿业企业资产总计,其他联营住宿业企业资产总计,内资住宿业企业资产总计,国有与集体联营住宿业企业资产总计,国有住宿业企业资产总计,国有独资公司住宿业企业资产总计,国有联营住宿业企业资产总计,外商投资住宿业企业资产总计,外商投资股份有限公司住宿业企业资产总计,外资住宿业企业资产总计,旅游饭店资产总计,有限责任公司住宿业企业资产总计,港、澳、台商合作经营住宿业企业资产总计,港、澳、台商合资经营住宿业企业资产总计,港、澳、台商投资住宿业企业资产总计,港、澳、台商投资股份有限公司住宿业企业资产总计,港、澳、台商独资经营住宿业企业资产总计,私营住宿业企业资产总计,私营合伙住宿业企业资产总计,私营有限责任公司住宿业企业资产总计,私营独资住宿业企业资产总计,私营股份有限公司住宿业企业资产总计,联营住宿业企业资产总计,股份合作住宿业企业资产总计,股份有限公司住宿业企业资产总计,集体住宿业企业资产总计,集体联营住宿业企业资产总计
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,153.53267,114.32042,267.61785,3888.63408,15.13042,22.06524,,663.845,0.0,2.5615,2805.94558,15.31824,1152.95979,64.05799,27.60246,467.2599,2.93922,82.38241,3713.03617,727.90299,133.11484,425.4341,615.4286,4.02253,52.85713,460.28666,10.69158,335.74694,79.51651,34.33163,48.83716,51.8196,190.52908,158.47988,3.35496
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,568.4,122.7,319.4,6532.1,31.0,94.3,,1519.2,,5.4,4975.0,6.5,1575.4,107.0,15.8,693.0,17.9,233.0,5869.4,1626.3,123.4,465.7,864.2,18.2,256.8,1269.2,48.1,944.4,203.0,73.6,31.2,51.6,235.9,154.4,3.5
