,一般旅馆负债合计,中外合作经营住宿业企业负债合计,中外合资经营住宿业企业负债合计,住宿业企业负债合计,其他住宿业企业负债合计,其他住宿服务负债合计,其他外商投资住宿业企业负债合计,其他有限责任公司住宿业企业负债合计,其他港澳台商投资住宿业企业负债合计,其他联营住宿业企业负债合计,内资住宿业企业负债合计,国有与集体联营住宿业企业负债合计,国有住宿业企业负债合计,国有独资公司住宿业企业负债合计,国有联营住宿业企业负债合计,外商投资住宿业企业负债合计,外商投资股份有限公司住宿业企业负债合计,外资住宿业企业负债合计,旅游饭店负债合计,有限责任公司住宿业企业负债合计,港、澳、台商合作经营住宿业企业负债合计,港、澳、台商合资经营住宿业企业负债合计,港、澳、台商投资住宿业企业负债合计,港、澳、台商投资股份有限公司住宿业企业负债合计,港、澳、台商独资经营住宿业企业负债合计,私营住宿业企业负债合计,私营合伙住宿业企业负债合计,私营有限责任公司住宿业企业负债合计,私营独资住宿业企业负债合计,私营股份有限公司住宿业企业负债合计,联营住宿业企业负债合计,股份合作住宿业企业负债合计,股份有限公司住宿业企业负债合计,集体住宿业企业负债合计,集体联营住宿业企业负债合计
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,85.41788,102.5327,214.55965,2509.02671,7.59244,9.84559,0.0,400.15583,0.0,1.21081,1580.09971,10.59476,600.46121,20.79389,15.51572,389.21746,1.5115,70.61361,2413.76324,420.94972,108.94384,386.45095,539.70954,2.69366,41.62109,289.58216,5.04365,221.94401,40.42938,22.16512,29.09822,30.16135,97.91915,104.33546,1.77693
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,358.2,108.4,212.0,4368.1,22.5,61.7,,1017.7,,2.3,3165.0,4.0,856.5,43.5,8.4,488.0,12.3,155.3,3948.1,1061.1,104.6,408.4,715.1,16.3,185.9,926.5,28.8,738.6,107.8,51.3,16.8,33.7,150.3,97.5,2.1
