,城镇居民中等偏上户(20%)人均总收入,城镇居民中等偏下户(20%)人均总收入,城镇居民中等收入户(20%)人均总收入,城镇居民人均总收入,城镇居民困难户(5%)人均总收入,城镇居民最低收入户(10%)人均总收入,城镇居民最高收入户(10%)人均总收入,城镇居民较低收入户(10%)人均总收入,城镇居民较高收入户(10%)人均总收入
1978年,,,,,,,,,
1979年,,,,,,,,,
1980年,,,,,,,,,
1981年,,,,,,,,,
1982年,,,,,,,,,
1983年,,,,,,,,,
1984年,,,,,,,,,
1985年,,,,,,,,,
1986年,,,,,,,,,
1987年,,,,,,,,,
1988年,,,,,,,,,
1989年,,,,,,,,,
1990年,,,,,,,,,
1991年,,,,,,,,,
1992年,,,,,,,,,
1993年,,,,,,,,,
1994年,,,,,,,,,
1995年,,,,,,,,,
1996年,,,,,,,,,
1997年,,,,,,,,,
1998年,,,,,,,,,
1999年,,,,,,,,,
2000年,,,,,,,,,
2001年,,,,,,,,,
2002年,9437.99,5209.18,7061.37,8177.4,2063.95,2527.68,20208.43,3833.01,12555.07
2003年,10463.66,5705.67,7753.86,9061.22,2278.29,2762.43,23483.95,4209.16,14076.07
2004年,11870.79,6423.89,8746.65,10128.51,2531.46,3084.83,27506.23,4697.62,16156.02
2005年,13596.66,7177.05,9886.96,11320.77,2733.3,3377.68,31237.52,5202.12,18687.74
2006年,15199.7,8103.73,11052.05,12719.19,3129.34,3871.37,34834.39,5946.1,20699.63
2007年,17684.55,9568.02,12978.61,14908.61,3744.87,4604.09,40019.22,6992.55,24106.62
2008年,20784.19,10974.63,15054.73,17067.78,4187.2,5203.83,47422.4,7916.53,28518.85
2009年,23050.76,12345.17,16858.36,18858.09,4935.81,5950.68,51349.57,8956.81,31171.69
2010年,25497.81,13970.99,18920.72,21033.42,5483.09,6703.7,56435.17,10247.04,34254.64
2011年,29058.92,15880.67,21439.7,23979.2,6445.45,7819.44,64460.67,11751.28,39215.49
2012年,32758.8,18374.8,24531.41,26958.99,7520.86,9209.49,69877.34,13724.72,43471.04
2013年,,,,,,,,,
2014年,,,,,,,,,
