,交通运输、仓储及邮电通信业国有单位就业人员,住宿和餐饮业国有单位就业人员,信息传输、计算机服务和软件业国有单位就业人员,公共管理和社会组织国有单位就业人员,农林牧渔业国有单位就业人员,制造业国有单位就业人员,卫生、社会保障和社会福利业国有单位就业人员,国有单位就业人员,居民服务和其他服务业国有单位就业人员,建筑业国有单位就业人员,房地产业国有单位就业人员,批发和零售业国有单位就业人员,教育业国有单位就业人员,文化、体育和娱乐业国有单位就业人员,水利、环境和公共设施管理业国有单位就业人员,电力、燃气及水的生产和供应业国有单位就业人员,科学研究、技术服务和地质勘查业国有单位就业人员,租赁和商务服务业国有单位就业人员,采矿业国有单位就业人员,金融业国有单位就业人员
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8101.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7639.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7162.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6875.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6709.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6488.199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,432.9921,63.8408,65.5857,1257.5475,414.2,554.0,466.7789,6430.5,27.721,262.8375,45.0275,186.733,1448.0119,110.1085,165.4167,208.7603,193.0188,121.0465,241.7,165.1013
2007年,431.9623,58.5588,62.5311,1285.0055,406.2816,518.0971,483.1695,6423.5494,28.7446,271.287,45.1754,174.0783,1462.922,111.2898,169.7984,202.4426,197.5184,120.4783,232.8499,161.3588
2008年,424.4915,56.6239,63.0176,1328.8137,392.1177,485.4831,501.2411,6447.0331,28.7749,267.7305,43.5283,160.739,1481.8651,110.9034,172.7874,203.0746,201.5975,125.9144,242.9139,155.4155
2009年,413.9202,55.153,64.5948,1380.0484,356.1203,437.7856,529.9225,6420.1597,28.2965,262.6615,43.5384,144.208,1490.6255,111.894,178.2947,198.6083,209.4175,125.4201,243.6602,145.9902
2010年,403.3,54.6,62.5,1415.6,357.4,416.5,562.6,6516.4,28.9,278.7,45.4,137.3,1517.4,113.1,189.9,203.9,219.6,131.5,234.1,144.3
2011年,415.8886,56.3065,67.0002,1452.7072,340.8638,397.7838,605.9782,6704.1993,30.7387,333.1642,47.6244,145.7254,1540.9383,113.8027,198.0006,214.9892,218.2396,127.8681,250.3048,146.275
2012年,419.4654,57.6149,65.8464,1528.6102,320.4507,369.493,639.459,6839.0322,30.3722,345.8278,46.7005,148.5103,1567.1696,114.9998,208.8747,218.2822,232.5047,116.7457,256.1776,151.9275
2013年,410.2869,45.7104,49.486,1553.5922,280.2934,232.6052,672.7438,6365.1039,22.8926,267.4925,37.1254,110.0792,1573.8116,109.8685,207.6963,198.9723,223.7352,123.5726,97.2183,147.9215
2014年,395.1662,41.8034,37.4633,1585.0703,262.9289,207.7832,703.9338,6312.3127,22.4546,237.1277,36.5124,99.9016,1602.703,106.25,211.9037,192.8591,224.799,126.0415,71.5546,146.0564
