,交通运输、仓储和邮政业私营企业和个体就业人员,住宿和餐饮业私营企业和个体就业人员,制造业私营企业和个体就业人员,居民服务和其他服务业私营企业和个体就业人员,建筑业私营企业和个体就业人员,批发和零售业私营企业和个体就业人员,私营企业和个体就业人员,租赁和商务服务业私营企业和个体就业人员
1978年,,,,,,,,
1979年,,,,,,,,
1980年,,,,,,,,
1981年,,,,,,,,
1982年,,,,,,,,
1983年,,,,,,,,
1984年,,,,,,,,
1985年,,,,,,,,
1986年,,,,,,,,
1987年,,,,,,,,
1988年,,,,,,,,
1989年,,,,,,,,
1990年,,,,,,,,
1991年,,,,,,,,
1992年,,,,,,,,
1993年,,,,,,,,
1994年,,,,,,,,
1995年,,,,,,,,
1996年,,,,,,,,
1997年,,,,,,,,
1998年,,,,,,,,
1999年,,,,,,,,
2000年,,,,,,,,
2001年,,,,,,,,
2002年,,,,,,,,
2003年,,,,,,,,
2004年,385.1269,688.0486,2641.9369,591.2213,324.8118,3671.2285,9604.3594,285.4268
2005年,398.8587,720.3381,2988.0844,649.6401,379.623,4065.8298,10724.6068,385.9097
2006年,421.797,771.252,3345.9051,670.2556,419.3072,4407.3028,11745.9736,462.0342
2007年,443.6731,801.173,3645.6598,706.5472,477.3126,4771.7078,12749.2839,525.0162
2008年,451.3036,860.1324,3715.5654,765.4982,563.4409,5183.7351,13680.3895,613.1048
2009年,512.6879,916.0043,3865.9892,851.0448,633.5622,5961.723,15192.3451,732.7844
2010年,487.6284,996.3678,4170.1576,955.9929,723.5259,6388.4657,16425.1404,815.3828
2011年,511.963,1072.398,4317.2493,1083.1876,772.6815,7425.2572,18298.8946,970.1475
2012年,837.6544,1161.9444,4467.8476,1149.1269,840.1518,7721.0301,19924.4373,1119.5537
2013年,599.2166,1346.1626,4778.8607,1216.7722,976.3224,8749.3808,21857.2979,1272.5539
2014年,629.6181,1547.9307,5074.2501,1400.3622,1132.6486,10131.8301,24974.9586,1598.4779
