,交通运输、仓储及邮电通信业城镇集体单位就业人员,住宿和餐饮业城镇集体单位就业人员,信息传输、计算机服务和软件业城镇集体单位就业人员,公共管理和社会组织城镇集体单位就业人员,农林牧渔业城镇集体单位就业人员,制造业城镇集体单位就业人员,卫生、社会保障和社会福利业城镇集体单位就业人员,城镇集体单位就业人员,居民服务和其他服务业城镇集体单位就业人员,建筑业城镇集体单位就业人员,房地产业城镇集体单位就业人员,批发和零售业城镇集体单位就业人员,教育业城镇集体单位就业人员,文化、体育和娱乐业城镇集体单位就业人员,水利、环境和公共设施管理业城镇集体单位就业人员,电力、燃气及水的生产和供应业城镇集体单位就业人员,科学研究、技术服务和地质勘查业城镇集体单位就业人员,租赁和商务服务业城镇集体单位就业人员,采矿业城镇集体单位就业人员,金融业城镇集体单位就业人员
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1499.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,897.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,809.9329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,27.1587,12.7273,1.1407,3.6302,7.1,203.9,48.8479,763.6,9.8099,184.9229,7.9616,77.4333,36.0171,2.2674,9.997,5.968,3.5316,34.116,25.1,62.066
2007年,24.6431,11.5859,0.9458,2.943,5.9543,182.0547,48.6545,718.4366,8.855,181.4745,7.6669,69.0001,34.312,2.2694,10.1578,5.5869,3.3706,34.4403,23.2105,61.3113
2008年,22.1973,11.0416,0.7722,2.4281,4.8526,165.1745,49.8023,661.8208,8.7662,169.2028,7.3945,58.6385,24.5773,2.3133,10.7962,5.0541,3.4362,33.1098,22.1751,60.0882
2009年,20.5734,10.4369,1.1373,2.696,4.9158,148.5334,49.8592,618.1304,8.2089,163.6677,8.7076,52.4767,17.3975,2.1977,10.5346,5.1141,4.1753,36.715,17.6342,53.1491
2010年,19.8,9.6,1.0,2.2,4.4,134.4,51.4,597.5,7.8,161.7,9.2,48.0,17.5,2.2,10.5,5.2,4.2,37.6,18.8,52.1
2011年,17.495,9.9724,1.3044,2.4028,4.0157,124.1199,51.4562,603.0617,6.0004,187.3833,8.571,46.7557,19.0865,2.016,10.8072,5.4916,3.7333,31.8491,20.4086,50.1926
2012年,17.7374,9.3003,1.252,2.3097,4.9842,113.7366,52.561,589.6674,6.0828,184.9842,8.7235,40.9294,18.9994,2.4983,10.5909,5.1263,5.419,33.7214,20.5983,50.1127
2013年,18.9524,9.9896,0.8775,2.0918,2.474,97.4077,53.9621,566.1703,5.3765,181.57,8.2784,38.3042,21.7924,2.0343,10.6723,4.2035,5.5374,38.1169,15.8065,48.7228
2014年,17.3624,6.696,0.7841,2.136,2.5727,87.9182,54.9307,536.7103,5.6756,173.7135,8.9229,35.0474,22.1752,1.9287,11.1641,4.0227,5.4238,35.9985,13.2681,46.9697
