,交通运输、仓储和邮政业城镇单位就业人员平均工资,住宿和餐饮业城镇单位就业人员平均工资,信息传输、计算机服务和软件业城镇单位就业人员平均工资,公共管理和社会组织城镇单位就业人员平均工资,农、林、牧、渔业城镇单位就业人员平均工资,制造业城镇单位就业人员平均工资,卫生、社会保障和社会福利业城镇单位就业人员平均工资,城镇单位就业人员平均工资,居民服务和其他服务业城镇单位就业人员平均工资,建筑业城镇单位就业人员平均工资,房地产业城镇单位就业人员平均工资,批发和零售业城镇单位就业人员平均工资,教育城镇单位就业人员平均工资,文化、体育和娱乐业城镇单位就业人员平均工资,水利、环境和公共设施管理业城镇单位就业人员平均工资,电力、燃气及水的生产和供应业城镇单位就业人员平均工资,科学研究、技术服务和地质勘查业城镇单位就业人员平均工资,租赁和商务服务业城镇单位就业人员平均工资,采矿业城镇单位就业人员平均工资,金融业城镇单位就业人员平均工资
1978年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,9333,0,0,0,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,10834,0,0,0,0,0,0,0,0,0,0,0,0
2002年,0,0,0,0,0,0,0,12373,0,0,0,0,0,0,0,0,0,0,0,0
2003年,15753,11198,30897,15355,6884,12671,16185,13969,12665,11328,17085,10894,14189,17098,11774,18574,20442,17020,13627,20780
2004年,18071,12618,33449,17372,7497,14251,18386,15920,13680,12578,18467,13012,16085,20522,12884,21543,23351,18723,16774,24299
2005年,20911,13876,38799,20234,8207,15934,20808,18200,15747,14112,20253,15256,18259,22670,14322,24750,27155,21233,20449,29229
2006年,24111,15236,43435,22546,9269,18225,23590,20856,18030,16164,22238,17796,20918,25847,15630,28424,31644,24510,24125,35495
2007年,27903,17046,47700,27731,10847,21144,27892,24721,20370,18482,26085,21074,25908,30430,18383,33470,38432,27807,28185,44011
2008年,32041,19321,54906,32296,12560,24404,32185,28898,22858,21223,30118,25818,29831,34158,21103,38515,45512,32915,34233,53897
2009年,35315,20860,58154,35326,14356,26810,35662,32244,25172,24161,32242,29139,34543,37755,23159,41869,50143,35494,38038,60398
2010年,40466,23382,64436,38242,16717,30916,40232,36539,28206,27529,35870,33635,38968,41428,25544,47309,56376,39566,44196,70146
2011年,47078,27486,70918,42062,19469,36665,46206,41799,33169,32103,42837,40654,43194,47878,28868,52723,64252,46976,52230,81109
2012年,53391,31267,80510,46074,22687,41650,52564,46769,35135,36483,46764,46340,47734,53558,32343,58202,69254,53162,56946,89743
2013年,57993,34044,90915,49259,25820,46431,57979,51483,38429,42072,51048,50308,51950,59336,36123,67085,76602,62538,60138,99653
2014年,63416,37264,100845,53110,28356,51369,63267,56360,41882,45804,55568,55838,56580,64375,39198,73339,82259,67131,61677,108273
