,就业人员,第一产业就业人员,第三产业就业人员,第二产业就业人员
1978年,40152.0,28318.0,4890.0,6945.0
1979年,41024.0,28634.0,5177.0,7214.0
1980年,42361.0,29122.0,5532.0,7707.0
1981年,43725.0,29777.0,5945.0,8003.0
1982年,45295.0,30859.0,6090.0,8346.0
1983年,46436.0,31151.0,6606.0,8679.0
1984年,48197.0,30868.0,7739.0,9590.0
1985年,49873.0,31130.0,8359.0,10384.0
1986年,51282.0,31254.0,8811.0,11216.0
1987年,52783.0,31663.0,9395.0,11726.0
1988年,54334.0,32249.0,9933.0,12152.0
1989年,55329.0,33225.0,10129.0,11976.0
1990年,64749.0,38914.149,11978.565,13856.286
1991年,65491.0,39098.127,12377.799,14015.074
1992年,66152.0,38698.92,13098.096,14354.984
1993年,66808.0,37679.712,14163.296,14964.992
1994年,67455.0,36628.065,15514.65,15312.285
1995年,68065.0,35529.93,16880.12,15654.95
1996年,68950.0,34819.75,17927.0,16203.25
1997年,69820.0,34840.18,18432.48,16547.34
1998年,70637.0,35177.226,18860.079,16599.695
1999年,71394.0,35768.394,19204.986,16420.62
2000年,72085.0,36042.5,19823.375,16219.125
2001年,72797.0,36398.5,20164.769,16233.731
2002年,73280.0,36640.0,20958.08,15681.92
2003年,73736.0,36204.376,21604.648,15926.976
2004年,74264.0,34829.816,22724.784,16709.4
2005年,74647.0,33441.856,23439.158,17765.986
2006年,74978.0,31940.628,24142.916,18894.456
2007年,75321.0,30730.968,24404.004,20186.028
2008年,75564.0,29923.344,25087.248,20553.408
2009年,75828.0,28890.468,25857.348,21080.184
2010年,76105.0,27930.535,26332.33,21842.135
2011年,76420.0,26594.16,27281.94,22543.9
2012年,76704.0,25773.0,27690.0,23241.0
2013年,76977.0,24171.0,29636.0,23170.0
2014年,77253.0,22790.0,31364.0,23099.0
