,乡村私营企业就业人数,乡村私营企业投资者就业人数,城镇私营企业就业人数,城镇私营企业投资者就业人数,私营企业就业人数,私营企业户数,私营企业投资者就业人数
1978年,,,,,,,
1979年,,,,,,,
1980年,,,,,,,
1981年,,,,,,,
1982年,,,,,,,
1983年,,,,,,,
1984年,,,,,,,
1985年,,,,,,,
1986年,,,,,,,
1987年,,,,,,,
1988年,,,,,,,
1989年,,,,,,,
1990年,113.0,,57.0,,,,
1991年,116.0,,68.0,,,,
1992年,134.06,16.71,97.78,13.6,231.84,13.96,30.31
1993年,186.48,23.22,186.14,28.16,372.63,23.79,51.38
1994年,316.0,38.8,332.4,50.1,648.3,43.2,88.9
1995年,470.6,55.6,485.0,78.4,956.0,65.5,134.0
1996年,551.1,64.9,620.0,105.5,1171.1,81.9,170.5
1997年,599.7,71.0,750.0,133.2,1349.3,96.1,204.2
1998年,736.5,87.9,973.0,176.0,1709.1,120.1,263.8
1999年,968.9209,123.514,1052.6269,198.8678,2021.5478,150.8857,322.3818
2000年,1138.5879,148.4726,1267.9076,246.8754,2406.4955,176.2,395.348
2001年,1187.0977,162.0573,1526.7667,298.7775,2713.8644,202.9,460.8348
2002年,1410.6304,203.5,1998.6714,419.4,3409.3,243.5,622.8
2003年,1753.9699,252.8564,2545.1667,519.9758,4299.1366,300.5524,772.8322
2004年,2023.5223,338.2202,2993.729,610.4086,5017.2513,365.067,948.6288
2005年,2365.6348,388.9522,3458.4308,720.9822,5824.0656,430.0916,1109.9344
2006年,2632.01563,418.72769,3954.28067,852.92361,6586.2963,498.0774,1271.6513
2007年,2672.0829,416.4777,4581.0,980.044,7253.1108,551.312,1396.5217
2008年,2780.2879,440.6786,5124.0,1066.6825,7903.9809,657.4171,1507.3611
2009年,3062.6375,485.6273,5544.3278,1164.985,8606.9653,740.1539,1650.6123
2010年,3346.6697,534.2317,6070.9069,1259.7841,9417.5766,845.5158,1794.0158
2011年,3441.7202,509.6782,6912.0,1476.0696,10353.6181,967.6776,1985.7478
2012年,3738.6837,554.0557,7557.0,1646.0435,11296.1228,1085.7169,2200.0992
2013年,4279.2408,658.956,8242.0,1826.7822,12521.5574,1253.9,2485.7382
2014年,4533.0477,733.1402,9857.3503,2229.9405,14390.398,1546.3661,2963.0807
