,交通运输、仓储和邮政业城镇私营单位就业人员平均工资,住宿和餐饮业城镇私营单位就业人员平均工资,信息传输、计算机服务和软件业城镇私营单位就业人员平均工资,公共管理和社会组织城镇私营单位就业人员平均工资,农、林、牧、渔业城镇私营单位就业人员平均工资,制造业城镇私营单位就业人员平均工资,卫生、社会保障和社会福利业城镇私营单位就业人员平均工资,城镇私营单位就业人员平均工资,居民服务和其他服务业城镇私营单位就业人员平均工资,建筑业城镇私营单位就业人员平均工资,房地产业城镇私营单位就业人员平均工资,批发和零售业城镇私营单位就业人员平均工资,教育城镇私营单位就业人员平均工资,文化、体育和娱乐业城镇私营单位就业人员平均工资,水利、环境和公共设施管理业城镇私营单位就业人员平均工资,电力、燃气及水的生产和供应业城镇私营单位就业人员平均工资,科学研究、技术服务和地质勘查业城镇私营单位就业人员平均工资,租赁和商务服务业城镇私营单位就业人员平均工资,采矿业城镇私营单位就业人员平均工资,金融业城镇私营单位就业人员平均工资
1978年,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,
2009年,19633.53502,15623.122386,28166.3109528,8190.5476034,14584.6306099,17259.9330925,18641.311646,18198.9933639,15687.8204007,19867.0554433,21333.8414132,17774.8990521,21066.424982,17338.7948878,17169.8943945,17795.4379264,26186.861012,21344.3816709,18552.6436611,30451.9437921
2010年,21989.0,17531.0,31226.0,8900.0,16370.0,20090.0,21571.0,20759.0,18350.0,22228.0,23228.0,19928.0,21862.0,20012.0,19607.0,18834.0,28886.0,23879.0,20981.0,30513.0
2011年,25949.0,20882.0,35562.0,11738.0,19223.0,24138.0,25590.0,24556.0,20543.0,26108.0,27017.0,22791.0,23636.0,22666.0,22958.0,22091.0,31320.0,27115.0,25519.0,28664.0
2012年,28159.0,23933.0,39518.0,10858.0,21973.0,28215.0,29173.0,28752.0,24068.0,30911.0,30778.0,27233.0,26625.0,26177.0,26402.0,25478.0,36598.0,31796.0,29684.0,32696.0
2013年,33141.0,27352.0,44060.0,33953.0,24645.0,32035.0,33862.0,32706.0,27483.0,34882.0,35038.0,30604.0,31521.0,30402.0,31241.0,29597.0,42854.0,36243.0,33081.0,37253.0
2014年,38891.0,29483.0,51044.0,26744.0,26862.0,35653.0,37205.0,36390.0,30580.0,38838.0,37826.0,33894.0,33678.0,32024.0,33847.0,33184.0,47462.0,39414.0,35819.0,41553.0
