,个体就业人数,个体户数,乡村个体就业人数,城镇就业人数
1978年,0.0,0.0,0.0,15.0
1979年,0.0,0.0,0.0,32.0
1980年,0.0,0.0,0.0,81.0
1981年,0.0,0.0,0.0,113.0
1982年,0.0,0.0,0.0,147.0
1983年,0.0,0.0,0.0,231.0
1984年,0.0,0.0,0.0,339.0
1985年,0.0,0.0,0.0,450.0
1986年,0.0,0.0,0.0,483.0
1987年,0.0,0.0,0.0,569.0
1988年,0.0,0.0,0.0,659.0
1989年,0.0,0.0,0.0,648.0
1990年,0.0,0.0,1491.0,614.0
1991年,0.0,0.0,1616.0,692.0
1992年,2467.7,1533.91,1727.54,740.17
1993年,2939.3,1766.87,2009.78,929.52
1994年,3775.9,2186.6,2550.9,1225.0
1995年,4613.6,2528.5,3054.0,1560.0
1996年,5017.1,2703.7,3308.3,1709.0
1997年,5441.9,2850.9,3522.4,1919.0
1998年,6114.4,3120.2,3855.1,2259.0
1999年,6240.9146,3160.0615,3826.6744,2414.2402
2000年,5070.0,2571.4,2933.8783,2136.1331
2001年,4760.2702,2433.0,2629.025,2131.2452
2002年,4742.9,2377.5,2474.1207,2268.8127
2003年,4636.5418,2353.1857,2259.5692,2376.9726
2004年,4587.1081,2350.4911,2065.8835,2521.2246
2005年,4900.5412,2463.8934,2122.8275,2777.7137
2006年,5159.6773,2595.6066,2147.1915,3012.4858
2007年,5496.1731,2741.5298,2186.6279,3310.0
2008年,5776.4086,2917.3323,2166.9655,3609.0
2009年,6585.3798,3197.3663,2340.8332,4244.5466
2010年,7007.5638,3452.8876,2540.0644,4467.4994
2011年,7945.2765,3756.4672,2718.3961,5227.0
2012年,8628.3145,4059.2731,2985.6494,5643.0
2013年,9335.7405,4436.3,3193.4699,6142.0
2014年,10584.5606,4984.0561,3575.2485,7009.3121
