,从俄罗斯引进电子出版物版权总数,从其他地区引进电子出版物版权总数,从加拿大引进电子出版物版权总数,从台湾地区引进电子出版物版权总数,从德国引进电子出版物版权总数,从新加坡引进电子出版物版权总数,从日本引进电子出版物版权总数,从法国引进电子出版物版权总数,从澳门地区引进电子出版物版权总数,从美国引进电子出版物版权总数,从英国引进电子出版物版权总数,从韩国引进电子出版物版权总数,从香港地区引进电子出版物版权总数,引进电子出版物版权总数
1978年,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,
2010年,,4.0,,7.0,2.0,,3.0,,,9.0,3.0,20.0,1.0,49.0
2011年,1.0,3.0,1.0,135.0,,3.0,3.0,,,2.0,9.0,25.0,3.0,185.0
2012年,,22.0,,15.0,10.0,,25.0,1.0,,13.0,3.0,10.0,1.0,100.0
2013年,,9.0,,7.0,1.0,,2.0,,,17.0,4.0,19.0,13.0,72.0
2014年,1.0,13.0,1.0,6.0,7.0,1.0,20.0,6.0,,25.0,27.0,11.0,2.0,120.0
