,向俄罗斯输出录像制品版权总数,向其他地区输出录像制品版权总数,向加拿大输出录像制品版权总数,向台湾地区输出录像制品版权总数,向德国输出录像制品版权总数,向新加坡输出录像制品版权总数,向日本输出录像制品版权总数,向法国输出录像制品版权总数,向澳门地区输出录像制品版权总数,向美国输出录像制品版权总数,向英国输出录像制品版权总数,向韩国输出录像制品版权总数,向香港地区输出录像制品版权总数,输出录像制品版权总数
1978年,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,
2010年,,2.0,1.0,,,,,,,5.0,,,,8.0
2011年,,18.0,,,,,,,,,,2.0,,20.0
2012年,,13.0,14.0,,,,,,,23.0,,,1.0,51.0
2013年,1.0,4.0,,,,,2.0,,,1.0,,2.0,183.0,193.0
2014年,,7.0,,,,,,,,66.0,,,,73.0
