,向俄罗斯输出电影版权总数,向其他地区输出电影版权总数,向加拿大输出电影版权总数,向台湾地区输出电影版权总数,向德国输出电影版权总数,向新加坡输出电影版权总数,向日本输出电影版权总数,向法国输出电影版权总数,向澳门地区输出电影版权总数,向美国输出电影版权总数,向英国输出电影版权总数,向韩国输出电影版权总数,向香港地区输出电影版权总数,输出电影版权总数
1978年,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,
2011年,,2.0,,,,,,,,,,,,2.0
2012年,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,
