,向俄罗斯输出电子出版物版权总数,向其他地区输出电子出版物版权总数,向加拿大输出电子出版物版权总数,向台湾地区输出电子出版物版权总数,向德国输出电子出版物版权总数,向新加坡输出电子出版物版权总数,向日本输出电子出版物版权总数,向法国输出电子出版物版权总数,向澳门地区输出电子出版物版权总数,向美国输出电子出版物版权总数,向英国输出电子出版物版权总数,向韩国输出电子出版物版权总数,向香港地区输出电子出版物版权总数,输出电子出版物版权总数
1978年,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,
2010年,,,,10.0,,,,,,139.0,,3.0,35.0,187.0
2011年,,27.0,,,,42.0,,2.0,18.0,21.0,5.0,8.0,2.0,125.0
2012年,,62.0,1.0,12.0,,16.0,,,,18.0,,4.0,2.0,115.0
2013年,,46.0,,53.0,44.0,169.0,69.0,,,183.0,78.0,3.0,1.0,646.0
2014年,40.0,41.0,,54.0,46.0,36.0,27.0,,,139.0,38.0,11.0,1.0,433.0
