,从俄罗斯引进录像制品版权总数,从其他地区引进录像制品版权总数,从加拿大引进录像制品版权总数,从台湾地区引进录像制品版权总数,从德国引进录像制品版权总数,从新加坡引进录像制品版权总数,从日本引进录像制品版权总数,从法国引进录像制品版权总数,从澳门地区引进录像制品版权总数,从美国引进录像制品版权总数,从英国引进录像制品版权总数,从韩国引进录像制品版权总数,从香港地区引进录像制品版权总数,引进录像制品版权总数
1978年,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,
2010年,1.0,11.0,,1.0,1.0,1.0,4.0,13.0,,284.0,35.0,1.0,4.0,356.0
2011年,,5.0,5.0,9.0,,,10.0,1.0,,289.0,90.0,9.0,3.0,421.0
2012年,1.0,2.0,,8.0,1.0,,7.0,1.0,,444.0,34.0,,5.0,503.0
2013年,,,,1.0,1.0,,,,,474.0,60.0,2.0,,538.0
2014年,,,,,,,7.0,,,404.0,37.0,3.0,,451.0
